Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Který prvek patří do III. A skupiny?;Hliník;Vápník;Sodík;Uhlík
Jaký je oxidační stav hliníku?;+III;+I;+II;0
Jaká je elektronová konfigurace hliníku?;[Ne] 3s² 3p¹;[He] 2s² 2p⁶;[Ar] 4s²;[Kr] 5s¹
Jaká je vlastnost hliníku?;Lehký, vodivý, odolný proti korozi;Těžký a křehký;Hořlavý a reaktivní s vodou;Nekovový
Kde se používá hliník?;Letectví, obaly, stavebnictví;Výroba kyselin;Detergenty;Výroba skla
Co je bauxit?;Ruda hliníku;Slitina mědi;Sloučenina železa;Surovina pro sklo
Co je léčivo?;Látka určená k prevenci nebo léčbě nemocí;Barvivo;Pesticid;Vitamín
Jaké jsou typy léčiv?;Analgetika, antibiotika, antihistaminika;Barviva, pigmenty;Karotenoidy;Detergenty
Co jsou barviva?;Látky schopné zabarvit jiné materiály;Alkoholy;Oxidy;Uhličitany
Jaké barvivo se získává z uhlovodíkových derivátů?;Azo-barviva;Sírany;Halogeny;Karboxylové kyseliny
Jaké je využití barviv?;Textilní a potravinářský průmysl;Výroba kyselin;Výroba solí;Skladování tepla
Co jsou pesticidy?;Látky proti škůdcům;Výživové doplňky;Alkoholy;Sloučeniny vzácných plynů
Jaké typy pesticidů známe?;Insekticidy, herbicidy, fungicidy;Oxidy, dusíkaté sloučeniny;Bílkoviny;Fosfolipidy
Jaký je ekologický problém pesticidů?;Znečišťují životní prostředí a bioakumulují se;Zvyšují fotosyntézu;Podporují růst mikroorganismů;Rozkládají sklo
Co je herbicid?;Látka proti plevelům;Lék proti bolesti;Sloučenina hliníku;Typ vitamínu
Co je insekticid?;Látka proti hmyzu;Barvivo;Katalyzátor;Typ sacharidu
Jak působí antibiotika?;Zabíjejí nebo brzdí růst bakterií;Neutralizují kyseliny;Zesilují enzymy;Zvyšují fotosyntézu
Co je nežádoucí účinek léčiv?;Vedlejší efekt při léčbě;Zvýšená účinnost;Zlepšená imunita;Nižší toxicita
Jaký je vztah mezi strukturou a funkcí léčiva?;Struktura ovlivňuje biologickou aktivitu;Nezáleží na struktuře;Struktura nemá vliv;Určuje barvu léčiva
Proč je důležitá správná dávka léčiva?;Zajišťuje účinnost a snižuje riziko toxicity;Zvyšuje kyselost;Ovlivňuje viskozitu;Zaručuje vůni
