Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je Průmysl 4.0?;Koncept digitalizace a automatizace výroby propojené sítí;Mechanizace výrobních procesů;Použití reléového řízení;Zavádění ruční práce;Zesílení signálu ve výrobě
Jaký je hlavní cíl Průmyslu 4.0?;Zvýšení efektivity, flexibility a automatizace výroby;Snížení počtu zařízení;Zvýšení spotřeby energie;Zesílení světelného výkonu;Omezení řídicí techniky
Co znamená zkratka IoT?;Internet věcí;Interní operace technologie;Informační obvod terminálu;Indikátor otáček;Izolace optických toků
Jakou funkci má IoT v průmyslu?;Propojení zařízení a sběr dat pro efektivní řízení;Zajištění chlazení;Zvýšení napětí;Zesílení proudového toku;Rozpojení sítě
Co je digitální dvojče?;Virtuální model reálného systému pro simulaci a řízení;Záložní řídicí jednotka;Dvojice čidel;Kopie PLC programu;Soubor dat v cloudu
K čemu slouží Big Data v automatizaci?;K analýze velkého množství výrobních dat;K záloze programů;K záznamu hlasu;K ovládání motoru;K úspoře energie
Jaký je význam cloudu v automatizaci?;Ukládání a sdílení dat mezi zařízeními a systémy;Zvýšení proudu;Zesílení signálu;Ochrana proti přepětí;Ruční ovládání stroje
Co znamená prediktivní údržba?;Údržba na základě analýzy dat a předpovědi poruch;Ruční plánování oprav;Náhodná kontrola zařízení;Časově omezená oprava;Výměna podle záruky
Jaká zařízení se běžně připojují k IoT?;Senzory, HMI, PLC, motory;Stykače, relé, jističe;Ovladače, žárovky, vypínače;Kabely, konektory, svorky;Pojistky, cívky, vodiče
Jaký přínos má Průmysl 4.0 pro výrobní firmy?;Vyšší produktivita, menší chybovost, sledovatelnost;Větší spotřeba energie;Zvýšení hluku;Zpomalení výroby;Ruční ovládání strojů
Co je kyber-fyzikální systém (CPS)?;Propojení fyzického systému s digitálním řízením;Bezdrátová kamera;Výkonný motor;Bezpečnostní čidlo;Ruční ovladač
K čemu slouží senzory v Průmyslu 4.0?;Získávají data z prostředí pro další zpracování;Spínají motor;Zesilují proud;Napájí zařízení;Změkčují vibrace
Jaký je rozdíl mezi klasickým a chytrým řízením?;Chytré řízení využívá dat, analýzy a síťovou komunikaci;Klasické je rychlejší;Chytré je vždy levnější;Klasické nepotřebuje čidla;Chytré funguje bez PLC
Kde se ukládají data v systému Průmyslu 4.0?;Na serverech nebo v cloudu;V baterii;V senzoru;Na disku PLC;V místní síti
Jaký je význam pojmu interoperabilita?;Schopnost různých zařízení spolu komunikovat;Schopnost systému měřit teplotu;Změna frekvence signálu;Změna směru výroby;Zvýšení napětí ve vedení
Co je OPC UA?;Komunikační protokol pro přenos dat v automatizaci;Programovací jazyk PLC;Typ relé;Způsob chlazení rozvaděče;Druh motoru
Jaký je význam umělé inteligence v automatizaci?;Optimalizace řízení a rozhodování na základě dat;Náhrada čidel;Zvýšení hlučnosti systému;Ruční řízení;Změna barvy displeje
Co znamená konektivita v Průmyslu 4.0?;Možnost propojení zařízení a systémů;Spínání relé;Napájení přes konektor;Zesílení signálu;Změna teploty
K čemu slouží digitální transformace?;Zavádění digitálních technologií do výrobních procesů;Změna analogového signálu;Spouštění motoru;Uložení programu;Změna rychlosti otáček
Jaké jsou klíčové technologie Průmyslu 4.0?;IoT, cloud, AI, Big Data, CPS;Stykače, pojistky, senzory;PLC, HMI, relé;Jističe, frekvenční měniče;Motory, řemeny, převodovky
