Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy vzniklo Československo?;28. října 1918;1. ledna 1919;8. května 1918;28. října 1917
Kdo se stal prvním prezidentem ČSR?;Tomáš Garrigue Masaryk;Edvard Beneš;Milan Rastislav Štefánik;Antonín Švehla
Jaký politický systém byl zaveden v první republice?;Parlamentní demokracie;Totalita;Monarchie;Teokracie
Které národy tvořily obyvatelstvo ČSR?;Češi, Slováci, Němci, Maďaři, Rusíni;Češi, Poláci, Chorvati;Jen Češi a Slováci;Slováci a Rakušané
Jaký byl význam Pittsburghské dohody?;Dohoda o spojení Čechů a Slováků;Založení československé armády;Rozpad Rakouska;Vyhlášení nezávislosti
Jak se nazývaly československé legie?;Dobrovolnické vojenské jednotky bojující za vznik ČSR;Ochranné sbory;Policejní jednotky;Zahraniční diplomaté
Kdy byla podepsána Mnichovská dohoda?;30. září 1938;15. března 1939;1. října 1938;28. října 1938
Které státy se účastnily Mnichovské dohody?;Německo, Itálie, Francie, Velká Británie;USA, Francie, ČSR, Německo;SSSR, Německo, Polsko;Německo, Maďarsko, Rakousko
Co znamenala Mnichovská dohoda pro ČSR?;Ztráta pohraničí;Zisk Slovenska;Vstup do EU;Zrušení parlamentu
Kdy Německo okupovalo zbytek Čech a Moravy?;15. března 1939;30. září 1938;1. září 1939;28. října 1939
Jaký stát vznikl na Slovensku v březnu 1939?;Slovenský štát;Slovenská republika lidu;Východní Slovensko;Uherské Slovensko
Kdo stál v čele slovenského státu?;Jozef Tiso;Alexander Dubček;Andrej Hlinka;Gustáv Husák
Jaký byl charakter okupace Čech a Moravy?;Protektorát Čechy a Morava pod německou správou;Úplná svoboda;Spolupráce s Francií;Pod britskou ochranou
Kdo byl říšský protektor za nacistické okupace?;Reinhard Heydrich;Heinrich Himmler;Adolf Eichmann;Josef Mengele
Kdy a kde byl spáchán atentát na Heydricha?;27. května 1942 v Praze;28. října 1941 v Brně;30. září 1939 v Ostravě;15. března 1943 v Plzni
Jaký byl důsledek atentátu na Heydricha?;Vyhlazení Lidic a Ležáků;Kapitulace Německa;Připojení Polska;Odpor v Maďarsku
Kdo byli členové domácího odboje?;Politici, vojáci, obyčejní lidé;Církevní představitelé;Rudí gardisté;Členové strany KSČ
Kdo vedl československý exilový odboj?;Edvard Beneš;Tomáš G. Masaryk;Klement Gottwald;Jan Masaryk
Kdy byl uznán československý exil jako legitimní vláda?;1941;1939;1945;1938
Jak skončila první republika?;Okupací a vznikem Protektorátu;Vznikem monarchie;Připojením k SSSR;Rozdělením na kantony
