Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou abiotické faktory?;Nepřímé vlivy neživé přírody;Vlivy způsobené živočichy;Lidská činnost;Vzájemné vztahy mezi organismy
Co ovlivňuje ekologická valence organismu?;Šíře podmínek, ve kterých organismus přežívá;Jeho pohlaví;Jeho velikost;Způsob rozmnožování
Co je biotop?;Místo výskytu určitého společenstva;Organismus v určitém prostředí;Zemědělská půda;Ochranné pásmo
Co je ekologická nika?;Funkční zařazení organismu v ekosystému;Skupina podobných druhů;Podzemní doupě;Potravní řetězec
Co je bioindikátor?;Organismus citlivý na změny prostředí;Organismus, který se vyskytuje všude;Organismus parazitující na jiných;Druh, který mění prostředí
Co je areál druhu?;Rozsah geografického rozšíření druhu;Jeho ekologická nika;Počet jedinců v populaci;Stanoviště s největší populací
Kdo je endemit?;Organismus vyskytující se jen na omezeném území;Druh rozšířený po celém světě;Migrující druh;Druh žijící v moři
Co je relikt?;Pozůstatek z minulých geologických období;Nově vzniklý druh;Migrace druhů;Endemit vymírající populace
Kdo je kosmopolit?;Druh rozšířený po celém světě;Vymírající druh;Organismus v jediné lokalitě;Organismus v přírodní rezervaci
Co je ekotyp?;Populace přizpůsobená místním podmínkám;Typ biotopu;Ekologická nika;Živočich žijící v podzemí
Proč je důležitá ochrana genofondu?;Zajišťuje přežití druhů a jejich rozmanitost;Zvyšuje produkci masa;Ovlivňuje počasí;Zrychluje fotosyntézu
Co je chráněné území?;Území se zákonnou ochranou přírody;Oblast určená pro těžbu;Městská zástavba;Zemědělská půda
Jaký je hlavní cíl Národních parků?;Ochrana přírodních ekosystémů;Rozvoj průmyslu;Těžba surovin;Stavba silnic
K čemu slouží Natura 2000?;Evropská soustava chráněných území;Zemědělská dotace;Program obnovy lesů;Způsob těžby dřeva
Kdo je zodpovědný za vyhlašování národních parků?;Stát;Místní občané;Zemědělci;Podnikatelé
Co je invazní druh?;Druh šířící se mimo své původní území;Endemitický druh;Druh chráněný zákonem;Druh pěstovaný v zahradě
Proč je invazní druh problémem?;Může vytlačovat původní druhy;Zvyšuje biodiverzitu;Lépe se chrání;Zlepšuje kvalitu půdy
Jak můžeme chránit přírodu?;Tříděním odpadu, šetrným chováním, podporou chráněných území;Vyšší spotřebou plastů;Kácením lesů;Znečišťováním vod
Co je biodiverzita?;Rozmanitost druhů v přírodě;Zemědělský produkt;Jednotný typ krajiny;Jeden dominantní druh
Proč je důležitá ekologická rovnováha?;Udržuje stabilitu přírodních systémů;Zajišťuje vyšší zisk;Snižuje počet druhů;Podporuje výstavbu
