Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je filosofie?;Láska k moudrosti, systematické zkoumání základních otázek bytí;Zpěv a tanec;Zákon o škole;Věda o počítačích
Jaký je význam filosofie?;Pomáhá klást otázky a hledat smysl života;Učí řídit auto;Zajišťuje jídlo;Navrhuje domy
Jaké jsou hlavní disciplíny filosofie?;Etika, logika, metafyzika, epistemologie;Biologie, chemie, fyzika;Sport, výtvarná výchova, zpěv;Právo, soudnictví, politika
Co je etika?;Nauka o morálce a správném jednání;Věda o rostlinách;Zákon o školství;Pojištění zdraví
Jaký je význam etiky?;Pomáhá rozlišovat dobro a zlo;Zajišťuje sportovní výsledky;Řídí provoz na silnicích;Vysvětluje počasí
Co je svoboda člověka ve filosofii?;Schopnost rozhodovat se a nést odpovědnost;Možnost jíst co chci;Cestovat do školy;Povinnost platit daně
Co je morální rozhodování?;Rozhodování na základě hodnot a norem;Výběr jídla ve školní jídelně;Losování výhry;Rozhodnutí soudce
Co jsou mravní normy?;Společenské požadavky na chování;Předpisy o počasí;Návody k použití;Popis jídelníčku
Co je morální dilema?;Situace, kdy je třeba volit mezi dvěma etickými hodnotami;Ztráta klíčů;Zpoždění vlaku;Chyba v testu
Co je profesní etika?;Etické normy v různých povoláních;Pracovní smlouva;Zákoník práce;Vědecký výzkum
Které profese mají zvláštní etické kodexy?;Lékaři, učitelé, novináři;Sportovci, řidiči, kuchaři;Dělníci, úředníci, prodavači;Zahradníci, cestovatelé, malíři
Jaký je význam svobody ve filosofii?;Možnost tvořit vlastní životní cestu;Možnost vybrat si oběd;Možnost zůstat doma;Volba oblečení
Co je odpovědnost?;Schopnost nést důsledky svých činů;Možnost psát test;Hodnocení ve škole;Právo hlasovat
Co je svědomí?;Vnitřní hlas hodnotící naše činy;Přítel na telefonu;Zákoník práce;Seznam přání
Co znamená altruismus?;Nezištná pomoc druhým;Soutěžení o výhru;Tvorba zákonů;Vyhledávání zisku
Co je utilitarismus?;Etická teorie, že správné je to, co přináší nejvíce štěstí nejvíce lidem;Věda o utilitách;Filozofie starověkého Říma;Pravidla společnosti
Co je deontologie?;Etická teorie zaměřená na povinnost a pravidla;Systém školení;Rozvrh hodin;Způsob reklamy
Proč je důležitá etika ve společnosti?;Pomáhá udržovat řád, důvěru a spravedlnost;Zvyšuje ceny;Zajišťuje volný čas;Omezuje výuku
K čemu slouží filozofické otázky?;Pomáhají nám přemýšlet o životě a hodnotách;Učíme se počítat;Řídíme dopravu;Hledáme poklad
Proč je důležité znát etiku?;Pomáhá správně jednat a chápat dopad činů;Zajišťuje výhry;Přináší oblečení;Zvyšuje známky
