Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co musí být s proměnnou v C# před použitím?";"Deklarována";"Inicializována";"Optimalizována";"Uvolněna"
"Syntaxe deklarace proměnné je:";"<typ> <název_proměnné> = <hodnota>";"<název_proměnné> <typ> = <hodnota>";"<hodnota> = <typ> <název_proměnné>";"Deklarace není potřeba"
"Co znamená 'staticky typovaný jazyk'?";"Typ proměnné je pevně stanoven při deklaraci";"Typ proměnné se může měnit";"Typ proměnné je určen až za běhu programu";"Typ proměnné není důležitý"
"Pokud chceme aby promenna, ktera nemusi mit hodnotu, muzeme pouzit:";"Nullable";"Static";"Const";"Var"
"Jaký typ bude mít proměnná 'b' v 'var b = 3.14' ?";"double";"int";"float";"string"
"Jaké klíčové slovo použijeme pro konstanty?";"const";"static";"var";"immutable"
"K cemu je datovy typ Byte?";"Uklada 8 bitové celé číslo";"Uklada 16 bitové celé číslo";"Uklada 32 bitové celé číslo";"Uklada 64 bitové celé číslo"
"Jaký datový typ použijeme pro uložení logické hodnoty?";"bool";"int";"string";"char"
"Jaký datový typ použijeme pro uložení jednoho znaku?";"char";"string";"int";"bool"
"Jaký datový typ použijeme pro uložení textu?";"string";"char";"int";"bool"
"Jak se provede explicitní konverze typu 'double' na 'int'?";"(int)doubleValue";"doubleValue.toInt()";"Convert.toInt(doubleValue)";"int.parse(doubleValue)"
"Co se stane, pokud se provede implicitní konverze s ztrátou dat?";"Data se oříznou";"Nastane chyba";"Data se zaokrouhlí";"Data se převedou na string"
"Jsou řetězce v C# měnitelné?";"Ne, jsou immutable";"Ano, jsou mutable";"Záleží na deklaraci";"Pouze s určitými metodami"
"Jak zjistíme délku řetězce 'text'?";"text.Length";"length(text)";"text.size()";"text.count()"
"Jak získáme první znak řetězce 'text'?";"text[0]";"text.first()";"text.charAt(0)";"text.get(0)"
"Jaká operace je '+' v C#?";"sčítání";"odčítání";"násobení";"dělení"
"Jaká operace je '%' v C#?";"modulo (zbytek po dělení)";"procento";"dělení";"násobení"
"Jaké operátory používáme pro porovnávání hodnot?";"==, !=, <, >, <=, >=";"+, -, *, /";"&&, ||, !";"%, ^, &"
"Co dělají logické operátory?";"Pracují s podmínkami";"Provádějí matematické operace";"Porovnávají hodnoty";"Řetězí text"
"K čemu slouží operátory přiřazení (+=, -=, *=, /=)?";"Zjednodušují zápis výpočtů";"Porovnávají hodnoty";"Pracují s podmínkami";"Deklarují proměnné"
