Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy došlo ke sjednocení Itálie?;1861;1848;1870;1900
Která osobnost je spojena se sjednocením Itálie?;Giuseppe Garibaldi;Napoleon Bonaparte;Klemens Metternich;Giovanni Verdi
Který stát hrál hlavní roli při sjednocení Itálie?;Piemont-Sardinie;Benátky;Neapol;Vatikán
Jak se jmenoval první král sjednocené Itálie?;Viktor Emanuel II.;Umberto I.;Garibaldi;František Josef I.
Kdy došlo ke sjednocení Německa?;1871;1867;1851;1885
Kdo byl hlavním architektem německého sjednocení?;Otto von Bismarck;Kaiser Wilhelm II.;Karel Marx;Friedrich Engels
Který stát vedl sjednocovací proces v Německu?;Prusko;Bavorsko;Rakousko;Sasko
Která válka rozhodla o sjednocení Německa?;Prusko-francouzská válka;Sedmiletá válka;Krymská válka;Rakousko-pruská válka
Jaký význam měla bitva u Sedanu (1870)?;Zajat Napoleon III. a porážka Francie;Vítězství Itálie;Rozpad Německa;Vznik Rakouska
Kdy vypukla americká občanská válka?;1861;1850;1875;1888
Které dva bloky proti sobě stály v americké občanské válce?;Sever a Jih;Demokraté a republikáni;USA a Mexiko;Kolonie a Británie
Co bylo hlavní příčinou války Severu proti Jihu?;Otázka otroctví;Náboženství;Vnější agrese;Námořní konflikty
Kdo byl prezidentem USA během občanské války?;Abraham Lincoln;George Washington;Ulysses Grant;Theodore Roosevelt
Kdy byl Lincoln zavražděn?;1865;1861;1870;1859
Jaký byl výsledek americké občanské války?;Zachování Unie a zrušení otroctví;Rozpad USA;Vítězství Jihu;Vznik nové konfederace
Co znamená kolonialismus?;Získávání a ovládání zámořských území;Průmyslová výroba;Reformy školství;Vnitřní politika státu
Které země byly hlavními kolonialisty?;Velká Británie, Francie, Nizozemí;Německo, Rakousko, Švédsko;USA, Rusko, Čína;Itálie, Španělsko, Turecko
Co je tzv. východní otázka?;Rozpad Osmanské říše a boj velmocí o vliv;Otázka Indie;Vznik USA;Válka v Africe
Jaký konflikt vypukl mezi Ruskem a Japonskem v roce 1904?;Rusko-japonská válka;První světová válka;Korejská krize;Sibiřský konflikt
Který spolek vznikl v počátku 20. století jako obranné spojenectví?;Trojspolek;EU;NATO;OSN
