Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou mezinárodní vztahy?;Vztahy mezi státy a mezinárodními organizacemi;Domácí politika;Vztahy v rodině;Školní pravidla
Jaké nástroje používá mezinárodní politika?;Diplomacie, smlouvy, embargo;Kultura, sport, umění;Výuka jazyků;Národní parky
Co je diplomacie?;Jednání mezi státy s cílem řešit problémy a zájmy;Výuka v zahraničí;Turistický ruch;Sportovní soutěž
Jak se změnily mezinárodní vztahy po 2. světové válce?;Vznikly mezinárodní organizace a rozdělení světa;Zanikly hranice států;Vznikly nové národy;Ztratily význam
Co je globalizace?;Propojování světa v ekonomice, kultuře a politice;Izolace států;Zákaz zahraničního obchodu;Přírodní jev
Jaké jsou kulturní důsledky globalizace?;Šíření stylů, jazyků, hodnot;Ztráta jaderné energie;Rozvoj zemědělství;Zvýšená kriminalita
Jaké jsou ekonomické dopady globalizace?;Růst obchodu, přenos výroby, investice;Ztráta školních míst;Nárůst nemoci;Zákaz dovozu
Co je planetární problém?;Problém ovlivňující celý svět, např. klima;Domácí úkol;Školní známka;Národní soutěž
Který problém je příkladem globálního?;Klimatická změna;Výběr prezidenta;Stávka učitelů;Hokejový turnaj
Jak může stát řešit globální problémy?;Spoluprací s jinými státy a organizacemi;Uzavřením hranic;Zrušením škol;Zákazem voličů
Jak globalizace ovlivňuje kultury?;Dochází k prolínání a někdy zániku tradic;Zvyšuje daně;Zvyšuje teplotu;Ruší práva
Co je ekonomická globalizace?;Volný obchod, přesun kapitálu a firem;Zánik měn;Zvýšení cen vody;Rozdělení států
Jaká je role technologií v globalizaci?;Umožňují rychlé spojení a přenos informací;Zpomaluje komunikaci;Způsobují izolaci;Zvyšují spotřebu vody
Jaké jsou výhody globalizace?;Dostupnost zboží, růst znalostí, otevřenost;Zákaz dovozu;Zánik kultury;Změna klimatu
Jaké jsou nevýhody globalizace?;Ztráta pracovních míst, kulturní uniformita;Větší zdraví;Nižší vzdělání;Větší zábava
Co je multilaterální jednání?;Jednání mezi více státy;Domácí úkol;Soutěžení mezi školami;Zasedání vlády
Jaké jsou formy globalizace?;Ekonomická, kulturní, politická, technologická;Sportovní, jazyková, literární;Historická, etnická;Vesmírná, duchovní
Která organizace řeší globální problémy?;OSN;NATO;Česká pošta;Rada škol
Co je kulturní globalizace?;Rozšíření hodnot a zvyků mezi kulturami;Zákaz kulturních akcí;Zničení jazyků;Zánik vzdělání
Proč je globalizace kontroverzní?;Má pozitivní i negativní dopady;Je všemi přijímána;Vždy škodí;Není podstatná
