Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo patří mezi strunatce?;Zvířata s vnitřní osovou strukturou – strunou hřbetní;Živočichové s vnější kostrou;Plži a měkkýši;Členovci a kroužkovci
Co je struna hřbetní?;Podélná opora těla u strunatců;Svalový útvar;Žíla na zádech;Trávicí trubice
Jaké znaky mají strunatci?;Struna hřbetní, hltan s žaberními štěrbinami, nervová trubice;Křídla, plicní vaky, chlupy;Vnější kostra, tykadla, článkované tělo;Svalnatá noha, ulita, radula
Kteří živočichové patří mezi bezlebečné?;Kruhoústí (např. kopinatec);Obojživelníci;Ryby;Ptáci
Kteří živočichové patří mezi pláštěnce?;Sumky a salpy;Raci a krabi;Hadi a ještěři;Kroužkovci a měkkýši
Která skupina je přímými předky obratlovců?;Bezlebeční;Kroužkovci;Pláštěnci;Plži
Kdo jsou ektotermní obratlovci?;Živočichové s tělesnou teplotou závislou na okolí;Teplokrevní živočichové;Savci a ptáci;Zvířata se stálou tělesnou teplotou
Kteří obratlovci jsou ektotermní?;Ryby, obojživelníci, plazi;Ptáci a savci;Hmyzožravci;Primáti
Jaké znaky mají ryby?;Žábry, ploutve, tělo pokryté šupinami;Křídla a peří;Suchá pokožka s rohovinou;Kožní žlázy a srst
Jaké znaky mají obojživelníci?;Holá, vlhká kůže, larvální vývoj s proměnou;Suchá kůže s šupinami;Tělo pokryté peřím;Kožní žlázy a mléčné žlázy
Kde žijí obojživelníci v průběhu života?;Ve vodě i na souši;Pouze ve vodě;Pouze na souši;V podzemí
Jaký je typický zástupce ryb?;Kapr obecný;Rosnička zelená;Ještěrka obecná;Vranka potoční
Jaký je typický zástupce obojživelníků?;Čolek obecný;Hlemýžď zahradní;Havran polní;Ropucha americká
Jaká je hlavní vlastnost plazů?;Suchá kůže pokrytá šupinami;Vlasy a chlupy;Slizká kůže;Žábry
Který orgán je přizpůsoben plazům k dýchání?;Plíce;Žábry;Kožní dýchání;Vzdušné vaky
Jak se plazi rozmnožují?;Vajíčky kladenými na suchu;Larvami ve vodě;Přes přímý přenos živorodě;Pupenem
Jaká je vývojová novinka u plazů oproti obojživelníkům?;Suchozemské vejce s obaly;Žábry;Slizká kůže;Ploutve
Jaký je zástupce plazů?;Ještěrka zelená;Kapr obecný;Sova pálená;Mravenec lesní
K čemu slouží šupiny u plazů?;Ochrana těla před vysušením;Zvýšení teploty těla;Pohyb ve vodě;Sání potravy
Jaká je role plazů v ekosystému?;Regulace počtu hmyzu a drobných obratlovců;Bestie predátorů;Opylovači rostlin;Rozkladači
