Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou hormony?;Chemické látky ovlivňující činnost buněk a orgánů;Krevní buňky;Trávicí enzymy;Bílkoviny v plasmě
Kde se tvoří hormony?;V endokrinních žlázách;Ve svalech;V červené kostní dřeni;V ledvinách
Která žláza se nazývá „hlavní řídící“?;Hypofýza;Štítná žláza;Pankreas;Nadledviny
Jaký hormon produkuje štítná žláza?;Tyroxin;Adrenalin;Inzulin;Testosteron
Co reguluje inzulin?;Hladinu glukózy v krvi;Krevní tlak;Svalovou aktivitu;Teplotu těla
Která žláza produkuje adrenalin?;Nadledviny;Hypofýza;Pankreas;Šišinka
Jaká je funkce adrenalinu?;Zvyšuje srdeční tep a připravuje tělo na stres;Zpomaluje metabolismus;Zvyšuje tvorbu krve;Zklidňuje činnost mozku
Co je hypotalamus?;Část mozku ovlivňující činnost hypofýzy;Hormon;Enzym;Typ receptoru
K čemu slouží negativní zpětná vazba v hormonální regulaci?;Udržuje stabilitu hladin hormonů;Zvyšuje tvorbu hormonů;Zajišťuje produkci bílkovin;Zvyšuje teplotu těla
Který hormon řídí vývoj pohlavních znaků u mužů?;Testosteron;Estrogen;Progesteron;Tyroxin
Který hormon ovlivňuje menstruační cyklus?;Progesteron;Adrenalin;Inzulin;Kortizol
Jaký je účinek oxytocinu?;Vyvolává stahy dělohy a podporuje kojení;Zvyšuje hladinu cukru;Snižuje tep;Ovlivňuje zrak
Kde se tvoří melatonin a jaký má účinek?;V šišince, reguluje spánek;V nadledvinách, ovlivňuje dýchání;V játrech, ovlivňuje trávení;V pankreatu, ovlivňuje hladinu cukru
Který hormon je důležitý pro reakci na stres?;Kortizol;Tyroxin;Estrogen;Inzulin
Jaký je účinek růstového hormonu?;Podporuje růst a regeneraci;Zvyšuje krevní tlak;Zrychluje trávení;Zklidňuje nervovou soustavu
Co jsou tkáňové hormony?;Látky působící lokálně v blízkosti místa vzniku;Hormony vylučované do krve;Vitamíny;Trávicí enzymy
Který hormon je produkován slinivkou břišní?;Inzulin;Adrenalin;Kortizol;Melatonin
Jaké jsou účinky estrogenu?;Vývoj ženských pohlavních znaků;Zvyšuje hladinu cukru;Snižuje krevní tlak;Zvyšuje svalovou hmotu
Co je eustres?;Pozitivní stres motivující k výkonu;Chronický stres;Patologický stres;Úplná absence stresu
K čemu slouží zpětná vazba v hormonální regulaci?;Udržuje homeostázu;Zvyšuje produkci vitamínů;Snižuje imunitní odpověď;Zpomaluje trávení
