Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je chytrý telefon?;Mobilní zařízení s operačním systémem a aplikacemi;Pevná linka;Kalkulačka;Analogová kamera
K čemu slouží GPS v mobilních zařízeních?;Určuje polohu pomocí satelitů;Změří rychlost procesoru;Zabezpečí data;Přehrává hudbu
Co je wearables?;Nositelná elektronika (např. chytré hodinky);Počítačová skříň;Wi-Fi router;Sluchátka
K čemu slouží dotyková obrazovka?;Umožňuje ovládání pomocí prstů;Zobrazuje pouze text;Zesiluje zvuk;Přenáší energii
Co je cloudové úložiště?;Online prostor pro ukládání dat;Typ harddisku;Počítačová síť;Elektronická čtečka
K čemu slouží e-mail?;Elektronická pošta pro komunikaci;Antivirový program;Program na tvorbu videí;Skenovací nástroj
Co je sociální síť?;Online platforma pro sdílení informací a komunikaci;Antivirový program;Textový editor;Grafický software
Která aplikace slouží ke komunikaci?;Messenger;Excel;Paint;Audacity
Co je QR kód?;Grafický kód pro rychlé získání informací;Textový soubor;Hudební formát;Počítačový virus
Co je mobilní aplikace?;Software určený pro mobilní zařízení;Internetová stránka;Typ kabelu;Značka hardwaru
Jaký je účel online schůzek?;Umožnit komunikaci a spolupráci na dálku;Stahování her;Přehrávání hudby;Zabezpečení přístupu
Co je VPN?;Virtuální privátní síť pro bezpečnou komunikaci;Typ cloudu;Grafický nástroj;Operační systém
K čemu slouží hlasoví asistenti (např. Siri, Alexa)?;Umožňují ovládání zařízení hlasem;Zesilují signál;Ukládají videa;Formátují dokumenty
Jaký je rozdíl mezi tabletem a notebookem?;Tablet má dotykový displej a je kompaktnější;Notebook má delší baterii;Tablet nemá displej;Notebook je lehčí
Co je 5G?;Pátá generace mobilních sítí;Formát videa;Textový formát;Grafická karta
Jaký je příklad chytrého zařízení?;Chytré hodinky;Flash disk;CD přehrávač;Zásuvka
K čemu slouží aplikace na počasí?;Informuje o aktuálním a budoucím počasí;Stahuje filmy;Zabezpečuje zařízení;Formátuje disk
Co je Bluetooth?;Bezdrátová technologie pro přenos dat na krátké vzdálenosti;Formát dokumentu;Bezpečnostní software;Typ sítě LAN
Jaká je výhoda online zálohování?;Přístup k datům odkudkoli;Zabírá více místa;Zpomaluje počítač;Není bezpečné
Co je IoT (Internet věcí)?;Propojení zařízení přes internet;Nový typ počítače;Textový editor;Antivirová ochrana
