Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký je nejrozšířenější prvek ve vesmíru?;Vodík;Kyslík;Dusík;Uhlík
Jaký je oxidační stav vodíku v hydridech?;-I;+I;0;+II
Jaký je oxidační stav kyslíku ve většině sloučenin?;-II;+II;0;-I
Co vzniká reakcí vodíku s kyslíkem?;Voda;Peroxid;Amoniak;Oxid uhelnatý
Co je peroxid vodíku?;Sloučenina H₂O₂;Sloučenina H₂O;Oxid H₂;Kyselina
Jaké vlastnosti má peroxid vodíku?;Oxidační a dezinfekční;Výbušné a hořlavé;Alkalické;Redukční
K čemu se používá peroxid vodíku?;Dezinfekce a bělení;Neutralizace kyselin;Zásobování energií;Syntéza plastů
Jak se značí hydroxylová skupina?;-OH;-NH₂;-COOH;-CH₃
Co je alkohol z chemického hlediska?;Organická sloučenina s hydroxylovou skupinou navázanou na uhlík;Sloučenina s karboxylovou skupinou;Sloučenina s aminoskupinou;Sloučenina s dvojnou vazbou
Jaký je obecný vzorec pro alkoholy?;R-OH;R-COOH;R-NH₂;R-H
Jak dělíme alkoholy?;Primární, sekundární, terciární;Slabé a silné;Kyselé a zásadité;Rozpustné a nerozpustné
Co je methanol?;Jednoduchý alkohol, CH₃OH;Kyselina;Fenol;Plyn
Co je ethanol?;Alkohol běžně obsažený v alkoholických nápojích;Sloučenina CO₂;Peroxid;Alken
Jaký je rozdíl mezi alkoholem a fenolem?;Fenol má -OH skupinu vázanou na aromatický kruh;Alkohol obsahuje síru;Fenol má dvojné vazby;Alkohol má více OH skupin
Jaký je typický příklad fenolu?;C₆H₅OH;CH₃OH;CH₃CH₂OH;H₂O₂
Jaké má fenol vlastnosti?;Kyselé a antiseptické;Zásadité;Neutrální;Výbušné
Na co se používají fenoly?;Výroba plastů, dezinfekce;Příprava kyselin;Jako hnojivo;V potravinářství
Jak alkoholy reagují s kyselinami?;Tvoří estery;Tvoří amidy;Nevzniká žádný produkt;Tvoří karboxylové kyseliny
Jaká reakce je typická pro alkoholy?;Dehydratace;Neutralizace;Sublimace;Hydrogenace
Co je triviální název pro ethanol?;Lihový alkohol;Dřevný líh;Amoniak;Glycerol
