Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
K čemu slouží trávicí soustava?;K rozkladu potravy na vstřebatelné látky;K regulaci teploty;K přenosu nervových vzruchů;K pohybu těla
Jaká je první část trávicí soustavy?;Ústní dutina;Žaludek;Jícen;Střevo
Jaká je funkce zubů?;Mechanické zpracování potravy;Produkují sliny;Tvoří vitamíny;Převádí kyslík
K čemu slouží jazyk při trávení?;Pomáhá míchat potravu a posouvat ji do hltanu;Vylučuje enzymy;Rozkládá bílkoviny;Vstřebává glukózu
K čemu slouží sliny?;Obsahují enzym amylázu rozkládající škroby;Rozkládají tuky;Produkují bílkoviny;Neutralizují žaludeční šťávy
Jaká je funkce jícnu?;Přepravuje potravu do žaludku;Tráví tuky;Produkuje inzulin;Zadržuje potravu
Jaký enzym se nachází v žaludeční šťávě?;Pepsin;Amyláza;Lipáza;Trypsin
Co je hlavní funkcí žaludku?;Chemické a mechanické trávení;Vstřebávání vody;Produkce vitamínu D;Transport krve
Kde začíná vstřebávání živin?;V tenkém střevě;V žaludku;V tlustém střevě;V jícnu
Jaké části má tenké střevo?;Dvanáctník, lačník, kyčelník;Dutina, trubice, vývod;Žlučník, játra, pankreas;Hltan, žaludek, konečník
Co produkuje slinivka břišní (pankreas)?;Trávicí enzymy a inzulin;Žluč;Žaludeční šťávu;Vitamín C
K čemu slouží játra v trávení?;Produkují žluč;Tvoří pepsin;Zadržují potravu;Tvoří amylázu
Co dělá žluč?;Emulguje tuky;Štěpí bílkoviny;Produkuje glukózu;Neutralizuje žaludeční kyseliny
Jaká je hlavní funkce tlustého střeva?;Vstřebávání vody a minerálů;Trávení cukrů;Rozklad bílkovin;Produkce žluči
Kde se vstřebávají vitamíny a minerály?;V tenkém střevě;V žaludku;V jícnu;Ve dvanáctníku
Co je metabolismus?;Soubor chemických reakcí v organismu;Dýchací činnost;Přenos informací;Stahování svalů
Co je katabolismus?;Rozklad látek za uvolnění energie;Syntéza nových látek;Zásobení svalů;Přenos kyslíku
Co je anabolismus?;Stavba složitějších látek z jednodušších;Odbourávání tuků;Trávení bílkovin;Produkce vody
Jaký je význam vitamínů?;Podpora metabolismu a imunity;Tvorba kyselin;Tvorba enzymů;Přenos DNA
Jaké minerály jsou důležité pro organismus?;Vápník, železo, hořčík;Síra, voda, fosfor;Zinek, kyslík, dusík;Helium, lithium, sodík
