Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou syntaktické chyby?";"Chyby v zápisu kódu porušující syntax jazyka";"Chyby v logice programu";"Chyby při běhu programu";"Chyby v uživatelském vstupu"
"Kdy jsou syntaktické chyby detekovány?";"Při kompilaci";"Při běhu programu";"Při načítání souboru";"Při inicializaci proměnných"
"Co jsou sémantické chyby?";"Program provede jinou činnost, než bylo zamýšleno";"Chyby při dělení nulou";"Syntax chyby v kódu";"Chyby při přístupu k poli"
"Kdy jsou runtime chyby detekovány?";"Během běhu programu";"Při kompilaci";"Při instalaci";"Při vytváření projektu"
"Co způsobí dělení nulou v C#?";"Runtime chybu";"Syntaktickou chybu";"Sémantickou chybu";"Žádnou chybu"
"Jaký typ výjimky je vyvolán při dělení nulou?";"DivideByZeroException";"NullReferenceException";"IndexOutOfRangeException";"InvalidOperationException"
"Jaká výjimka je vyvolána při přístupu k neplatnému indexu pole?";"IndexOutOfRangeException";"NullReferenceException";"DivideByZeroException";"ArgumentException"
"Co je ladění programu?";"Proces hledání a opravy chyb v kódu";"Testování uživatelského rozhraní";"Optimalizace výkonu";"Automatizace nasazení"
"Co jsou breakpoints v Visual Studiu?";"Zarážky, které zastaví běh programu na určitém místě";"Značky pro formátování textu";"Skriptovací příkazy";"Grafické prvky pro GUI"
"Jak se přidá breakpoint v Visual Studiu?";"Kliknutím na levý okraj editoru vedle čísla řádku";"Stisknutím klávesy F12";"Kliknutím na pravý okraj editoru";"Přes menu Debug"
"Co je Immediate Window?";"Okno pro zkoušení výrazu během ladění";"Prohlížeč chyb";"Nástroj pro úpravu CSS";"Editor kódu"
"Jaká klávesa slouží pro Step Into během ladění?";"F11";"F10";"Shift+F11";"Ctrl+F5"
"Jaká klávesa slouží pro Step Over během ladění?";"F10";"F11";"Shift+F11";"Ctrl+F5"
"Jaká klávesa slouží pro Step Out během ladění?";"Shift+F11";"F10";"F11";"Alt+F5"
"Co je try-catch blok v C#?";"Blok pro ošetření výjimek";"Blok pro zpracování textu";"Blok pro paralelní zpracování";"Blok pro načítání souborů"
"Jaký je účel bloku finally?";"Vykoná se vždy, bez ohledu na výjimky";"Vykoná se pouze při chybě";"Slouží k optimalizaci výkonu";"Zpracovává vstupy od uživatele"
"Jak vytvoříme vlastní výjimku v C#?";"Odvozením třídy od Exception";"Pomocí klíčového slova 'throw'";"Použitím Console.WriteLine";"Definicí proměnné typu Exception"
"Jaké výjimky by se měly zachytávat jako první?";"Specifické výjimky";"Obecná výjimka";"Chyba připojení";"Ladící informace"
"Co se provede v bloku catch?";"Zachytí výjimku a zpracuje ji";"Inicializuje proměnnou";"Načte soubor";"Optimalizuje kód"
"Co dělá klíčové slovo 'throw'?";"Vyvolá výjimku";"Zastaví aplikaci";"Zahodí návratovou hodnotu";"Uvolní paměť"
"Co je nejlepší praktikou při ošetřování výjimek?";"Používat konkrétní typy výjimek";"Zachytit všechny výjimky obecně";"Ignorovat výjimky";"Vždy ukončit aplikaci"
"Jaká výjimka je vyvolána při přístupu k objektu s hodnotou null?";"NullReferenceException";"DivideByZeroException";"IndexOutOfRangeException";"FileNotFoundException"
"Co je důležité dělat při logování výjimek?";"Zaznamenávat chybové hlášky a detaily";"Ignorovat detaily";"Mazat staré logy";"Neukládat žádné informace"
"Jaký je správný způsob uvolnění zdrojů?";"Použít blok finally";"Ignorovat uvolňování";"Použít proměnnou";"Vytvořit nový proces"
"Co je dobrá praxe při použití bloku try?";"Minimalizovat kód v bloku try";"Vložit celý program do bloku try";"Ignorovat výjimky";"Vytvořit nekonečnou smyčku"
"Jaká metoda vypíše detailní chybovou zprávu?";"ex.Message";"ex.ToString()";"ex.StackTrace";"ex.GetType()"
"Jaký je účel ladění?";"Najít a opravit chyby v programu";"Optimalizovat výkon aplikace";"Zlepšit uživatelské rozhraní";"Zjednodušit kód"
"Jaký je rozdíl mezi try a catch?";"try obsahuje rizikový kód, catch zpracovává výjimku";"catch obsahuje rizikový kód, try zpracovává výjimku";"Oba jsou stejné";"try ukončuje aplikaci"
"Co způsobí absence bloku catch po try?";"Výjimka nebude zachycena";"Výjimka se potichu vyřeší";"Výjimka se změní na jiný typ";"Aplikace se optimalizuje"
