Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je růst rostlin?;Nezvratné zvětšování objemu a hmotnosti;Pohyb směrem ke světlu;Krácení buněk;Rozpad tkání
Jaké jsou fáze růstu rostlin?;Dělivá, prodlužovací, rozlišovací;Klidová, kontrakční, uvolňovací;Suchá, mokrá, fáze růstu;Stabilní, regresní, postranní
Kde se nachází dělivá pletiva u rostlin?;V kořenových a stonkových vrcholech;Ve listech;Na okrajích květů;V cévních svazcích
Který faktor NEovlivňuje růst rostlin?;Rychlost větru;Světlo;Teplota;Voda
Co je fototropismus?;Růst směrem ke světlu;Růst proti gravitaci;Růst do tmy;Pohyby vody v rostlině
Co je hydrotropismus?;Růst směrem k vodě;Růst za světlem;Pohyb listů;Reakce na dotek
Jak se rostliny rozmnožují nepohlavně?;Odlomením části těla nebo výhonkem;Splynutím gamet;Pomocí semen;Opylením
K čemu slouží květ?;Rozmnožování rostlin;Fotosyntéze;Dýchání;Zásobení vodou
Jaké jsou části květu?;Calyx, koruna, tyčinky, pestík;Kořen, stonek, list;Čepel, řapík, žilnatina;Listy, semena, klíčky
Co je vajíčko u rostlin?;Ženská pohlavní buňka v semeníku;Samčí pohlavní buňka;Opylovací část květu;Cévní pletivo
Co je opylení?;Přenos pylu na bliznu;Růst semene;Květová fotosyntéza;Přeměna listu v květ
Co je oplození?;Splynutí samčí a samičí pohlavní buňky;Zaschnutí květu;Přenos pylu;Růst plodu
Co je plod?;Vyvinutý semeník s obsahem semen;Oplozené vajíčko;Nedozrálý květ;Tepelný výhonek
K čemu slouží semeno?;Uchování zárodku nové rostliny;Přeměna světla;Fotosyntéza;Podpora růstu stonku
Co ovlivňuje růst rostlin?;Teplota, světlo, voda, živiny;Sluchové podněty;Vibrace;Hluk
Jaké typy plodů existují?;Suché a dužnaté;Velké a malé;Tvrdé a měkké;Rostlé a nerostlé
Co je dormance?;Klidové období semen;Doba květu;Vývoj listů;Rozklad plodu
Co znamená partenogeneze?;Vznik zárodku bez oplození;Splynutí gamet;Opylení vetrem;Rozpad listu
Kdy dochází ke klíčení semene?;Za příznivých podmínek (voda, teplo, kyslík);Při dotyku s jinou rostlinou;Za úplného sucha;Ve fázi dormance
Co je vegetativní rozmnožování?;Rozmnožování bez pohlavních buněk;Rozmnožování květem;Opylování hmyzem;Křížení druhů
