Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou nukleové kyseliny?;Makromolekuly nesoucí genetickou informaci;Tuky v buňkách;Bílkoviny;Hormony
Jaké jsou dva hlavní typy nukleových kyselin?;DNA a RNA;ATP a ADP;mRNA a tRNA;DNA a bílkoviny
Jaké báze obsahuje DNA?;Adenin, guanin, cytosin, thymin;Adenin, guanin, uracil, cytosin;Thymin, uracil, guanin, cytosin;Adenin, thymin, ribóza, cytosin
Jaké báze obsahuje RNA?;Adenin, guanin, cytosin, uracil;Adenin, guanin, cytosin, thymin;Adenin, ribóza, thymin, uracil;Cytosin, thymin, sacharóza, guanin
Jaký cukr obsahuje DNA?;Deoxyribózu;Ribózu;Glukózu;Fruktózu
Jaký cukr obsahuje RNA?;Ribózu;Deoxyribózu;Glukózu;Galaktózu
Co je replikace DNA?;Zdvojení DNA;Přepis DNA do RNA;Tvorba bílkovin;Syntéza glukózy
Co je transkripce?;Přepis DNA do mRNA;Překlad mRNA do bílkoviny;Zdvojení DNA;Mutace DNA
Co je translace?;Překlad mRNA do bílkoviny;Přepis RNA do DNA;Syntéza glukózy;Replikace DNA
Jaká organela se podílí na proteosyntéze?;Ribozom;Jádro;Golgiho aparát;Lysosom
Jaký je význam mRNA?;Nese informaci z DNA pro tvorbu bílkovin;Spojuje aminokyseliny;Katalyzuje reakce;Tvoří struktury
Jaký je význam tRNA?;Přenáší aminokyseliny na ribozom;Nese genetickou informaci;Stavba chromozomů;Katalyzuje reakce
Co je kodon?;Sekvence tří nukleotidů v mRNA určující aminokyselinu;Sekvence bílkoviny;Cukerný řetězec;Ribozomální část
Kolik je přirozených aminokyselin?;20;12;64;30
Jaká je základní struktura aminokyseliny?;NH₂–CHR–COOH;CH₃–CH₂–OH;COOH–CH₃–NH₂;CH₄–COOH–NH₃
Co je peptidová vazba?;Spojuje aminokyseliny;Spojuje nukleotidy;Vazba cukru;Spojení fosfátových skupin
Co je denaturace bílkoviny?;Ztráta struktury a funkce;Tvorba DNA;Opačný proces k replikaci;Syntéza tuků
Jaká je role ribozomu?;Tvorba bílkovin;Přenos signálů;Transport molekul;Ochrana jádra
Co je význam proteosyntézy?;Tvorba bílkovin podle genetického kódu;Ukládání tuků;Zásobování energií;Tvorba cukrů
Kde probíhá proteosyntéza v eukaryotní buňce?;Na ribozomech v cytoplazmě;V jádře;V mitochondriích;Na plazmatické membráně
