Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký typ souboru je .txt?";"Textový soubor";"Binární soubor";"Archivní soubor";"Zvukový soubor"
"Jaký typ souboru je .exe?";"Binární soubor";"Textový soubor";"Archivní soubor";"Grafický soubor"
"Jaká třída v C# poskytuje rychlé operace se soubory?";"File";"FileInfo";"StreamReader";"BinaryWriter"
"Jaká třída nabízí metody pro čtení textových souborů?";"StreamReader";"BinaryReader";"FileStream";"MemoryStream"
"Jaká třída se používá pro zápis textových souborů?";"StreamWriter";"BinaryWriter";"FileStream";"MemoryStream"
"Jaká třída slouží pro čtení binárních dat?";"BinaryReader";"StreamReader";"FileStream";"StreamWriter"
"Jaká třída slouží pro zápis binárních dat?";"BinaryWriter";"StreamWriter";"FileStream";"MemoryStream"
"Co umožňuje třída FileStream?";"Práci s textovými i binárními soubory";"Připojení k databázi";"Vytváření grafického rozhraní";"Správu vláken"
"Jaký je rozdíl mezi File a FileInfo?";"File je statická třída, FileInfo používá instance";"FileInfo je statická, File používá instance";"Obě jsou statické třídy";"FileInfo je pouze pro binární soubory"
"Jaký je účel třídy StreamReader?";"Čtení textových souborů";"Zápis textových souborů";"Čtení binárních souborů";"Zápis binárních souborů"
"Jaký je účel třídy StreamWriter?";"Zápis textových souborů";"Čtení textových souborů";"Zápis binárních souborů";"Čtení binárních souborů"
"Jaká třída se používá pro dialogy s otevřením souboru?";"OpenFileDialog";"SaveFileDialog";"FileDialog";"StreamDialog"
"Jaká třída se používá pro dialogy s uložením souboru?";"SaveFileDialog";"OpenFileDialog";"StreamDialog";"DialogForm"
"Jaký namespace se používá pro práci se soubory?";"System.IO";"System.Data";"System.Text";"System.Threading"
"Jaká metoda slouží k zápisu textu do souboru?";"WriteAllText";"ReadAllText";"AppendAllText";"CopyFile"
"Jaká metoda slouží k čtení obsahu textového souboru?";"ReadAllText";"WriteAllText";"Delete";"Move"
"Jak přidáme text na konec existujícího souboru?";"AppendAllText";"WriteAllText";"AddText";"CreateText"
"Jakou metodu použijeme pro smazání souboru?";"Delete";"Remove";"Clear";"Erase"
"Jakou metodu použijeme pro přesun souboru?";"Move";"Copy";"Transfer";"ChangePath"
"Jakou metodu použijeme pro zkopírování souboru?";"Copy";"Move";"Clone";"Duplicate"
"Jaký dialog se používá pro výběr souboru v C#?";"OpenFileDialog";"SaveFileDialog";"FileSelectDialog";"DirectoryDialog"
"Jaký dialog se používá pro uložení souboru v C#?";"SaveFileDialog";"OpenFileDialog";"FileSelectDialog";"DirectoryDialog"
"Jaký je účel BinaryWriter?";"Zápis binárních dat do souboru";"Čtení binárních dat";"Zápis textových dat";"Správa vláken"
"Jaký je účel BinaryReader?";"Čtení binárních dat ze souboru";"Zápis binárních dat";"Čtení textových dat";"Správa procesů"
"Jaké rozšíření obvykle mají textové soubory?";".txt";".exe";".png";".mp3"
"Jaké rozšíření obvykle mají binární soubory?";".exe";".txt";".csv";".json"
"Jaký je hlavní účel třídy FileStream?";"Práce s datovými proudy";"Ladění programu";"Připojení k databázi";"Generování grafů"
"Co je dialogové okno OpenFileDialog?";"Dialog pro výběr souboru";"Dialog pro uložení souboru";"Dialog pro výběr adresáře";"Dialog pro výběr grafiky"
"Co je dialogové okno SaveFileDialog?";"Dialog pro uložení souboru";"Dialog pro výběr souboru";"Dialog pro kopírování souboru";"Dialog pro přejmenování souboru"
