Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je prezentace?;Způsob předání informací pomocí textu, obrázků, videí atd.;Textový dokument;Zvukový záznam;Tabulkový výpočet
K čemu slouží MS PowerPoint?;K tvorbě prezentací;K psaní dopisů;K přehrávání hudby;K editaci kódu
Jaký typ souboru vytváří PowerPoint?;.pptx;.docx;.xlsx;.pdf
Co je snímek v PowerPointu?;Jednotka prezentace;Obrázek;Zvukový klip;Graf
K čemu slouží animace v PowerPointu?;Zvýraznění prvků a efektů při přechodu;Změna písma;Úprava obrázků;Přehrání hudby
K čemu slouží časování prezentace?;Automatické přechody mezi snímky;Změna barvy pozadí;Tvorba tabulek;Změna formátu
Co umožňuje záložka „Vložení“?;Vložit obrázky, grafy, textová pole atd.;Změnit motiv;Nastavit okraje;Uložit dokument
Co je přechod mezi snímky?;Efekt při přechodu z jednoho snímku na druhý;Oprava pravopisu;Tisk dokumentu;Změna písma
Jak lze přidat odkaz v prezentaci?;Vložit > Odkaz;Formát > Barvy;Domů > Číslování;Pohled > Mřížka
Co je účelem prezentace?;Předat informace efektivním a názorným způsobem;Zaznamenat zvuk;Upravit video;Tisknout grafy
K čemu slouží režim prezentace?;Spustí zobrazení snímků na celou obrazovku;Upraví texty;Změní font;Zarovná grafiku
Co je šablona v PowerPointu?;Předpřipravený vzhled prezentace;Programovací kód;Zabezpečení;Typ animace
Jak lze prezentaci uložit jako video?;Soubor > Exportovat > Vytvořit video;Vložit > Zvuk;Zobrazit > Okno;Soubor > Tisk
K čemu slouží poznámky pod snímky?;Pomocný text pro přednášejícího;Komentář pro diváky;Vložený odkaz;Styl motivu
Jaký formát lze použít pro vložení zvuku?;.mp3;.txt;.docx;.xls
Jak se nazývá prostor pro úpravu snímku?;Pracovní plocha;Záhlaví;Nástrojový řádek;Textový rám
Jak vložit video do prezentace?;Vložit > Video;Formát > Video;Domů > Obrázek;Zobrazit > Multimédia
Co je hypertextový odkaz?;Klikací odkaz na jiný snímek nebo web;Grafické schéma;Styling písma;Obrázek
K čemu slouží funkce „Zarovnat objekty“?;Zarovná vybrané objekty na snímku;Změní pozadí;Změní přechod;Vymaže vše
Jaký je účel animace textu?;Zvýraznění nebo přitažení pozornosti;Změna velikosti fontu;Změna barvy pozadí;Změna typu souboru
