Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je kultura?;Soubor duchovních a materiálních hodnot společnosti;Fyzická výbava člověka;Výrobní prostředky;Náboženské tradice
Jaké jsou hlavní znaky kultury?;Symboly, jazyk, hodnoty, normy;Počasí, výživa, gravitace;Stromy, voda, vzduch;Přírodní zákony
Co je masová kultura?;Kultura určená široké veřejnosti, často komerční;Kultura pro elity;Zákon v chemii;Historické památky
Jaký je rozdíl mezi vysokou a populární kulturou?;Vysoká je spjata s elitami, populární s většinou;Populární je starší;Vysoká kultura je méně významná;Vysoká kultura je méně srozumitelná
Co jsou média?;Nástroje pro přenos informací;Způsoby výroby potravin;Cestovní prostředky;Hudební nástroje
Jaké jsou hlavní druhy médií?;Tisk, rozhlas, televize, internet;Voda, vzduch, oheň, země;PC, tablet, telefon, kamera;Čas, prostor, hmota, energie
Jaké funkce plní média?;Informují, vzdělávají, baví, ovlivňují;Sklízí úrodu;Předpovídají počasí;Řídí dopravu
Co je zpravodajství?;Šíření aktuálních informací veřejnosti;Výroba zboží;Vyučování matematiky;Obchodování na burze
Jaké faktory ovlivňují výběr zpráv v médiích?;Závažnost, novost, blízkost, zájem publika;Počet obrázků;Množství reklam;Barva titulku
Co je mediální gramotnost?;Schopnost porozumět a kriticky hodnotit média;Schopnost psát rychle;Psaní knih;Čtení nahlas
Jaká je role reklamy v médiích?;Ovlivňuje spotřebitelské chování;Způsobuje ztrátu zájmu;Zabraňuje sledování;Způsobuje poruchy spánku
Jaké jsou etické zásady v médiích?;Pravdivost, objektivita, vyváženost;Strannost, manipulace;Zábavnost, vulgarita;Extrémy, útočnost
Co je cenzura?;Kontrola a omezování obsahu médií;Způsob výběru barev;Zákaz vstupu do škol;Systém měření vědomostí
Co je dezinformace?;Záměrně nepravdivá informace;Oficiální dokument;Vědecká teorie;Pravdivá zpráva
Jaký je vliv médií na společnost?;Formují veřejné mínění a chování;Zpomalují rozvoj;Ovlivňují biologii;Snižují hladinu cukru
Co je mediální manipulace?;Záměrné ovlivňování názorů lidí;Správné vedení debaty;Etické chování novinářů;Nezávislé zpravodajství
Jak média ovlivňují děti a mládež?;Tvarují hodnoty, postoje a chování;Zlepšují fyzičku;Zvyšují imunitu;Učí řídit auta
Jaké jsou výhody veřejnoprávních médií?;Nezávislost, vyváženost, služba veřejnosti;Komercionalizace, výdělek;Podpora reklamy;Šíření bulváru
Jaká média spadají pod tzv. nová média?;Internet, sociální sítě, blogy;Tisk, rádio;Kámen, papyrus;Ústní tradice
Proč je důležité znát etiku v médiích?;Zajišťuje odpovědné a pravdivé informování;Zvyšuje zisky;Umožňuje manipulaci;Usnadňuje reklamu
