Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"K čemu slouží namespace System.Drawing?";"Pro práci s grafikou v C#";"Pro připojení k databázi";"Pro správu vláken";"Pro tvorbu konzolových aplikací"
"Jaká třída se používá pro kreslení grafických prvků?";"Graphics";"Drawing";"Pen";"Brush"
"Jaká třída se používá pro vykreslení čar a okrajů?";"Pen";"Brush";"Graphics";"Bitmap"
"Jaká třída se používá pro vyplňování tvarů?";"Brush";"Pen";"Graphics";"Image"
"Jaká struktura se používá pro barvy v C#?";"Color";"Brush";"Pen";"Graphics"
"Jaká třída se používá pro práci s bitmapami?";"Bitmap";"Image";"PictureBox";"Graphics"
"Jak získáme objekt Graphics ve Windows Forms?";"Přes PaintEventArgs nebo CreateGraphics()";"Přes Console.ReadLine()";"Přes Timer";"Přes Label.Text"
"Jaká metoda slouží pro kreslení čáry?";"DrawLine";"DrawRectangle";"FillEllipse";"DrawImage"
"Jaká metoda slouží pro kreslení obdélníku?";"DrawRectangle";"DrawLine";"FillEllipse";"DrawImage"
"Jaká metoda slouží pro vykreslení textu?";"DrawString";"DrawLine";"FillRectangle";"DrawImage"
"Jaký ovládací prvek se běžně používá pro kreslení?";"Panel";"Label";"Button";"TextBox"
"Jaké metody se používají pro vyplnění tvarů?";"FillRectangle, FillEllipse";"DrawLine, DrawCurve";"DrawText, DrawImage";"AddText, RemoveImage"
"Jaký je účel třídy Pen?";"Vykreslování čar a okrajů";"Vyplňování tvarů";"Zobrazení obrázků";"Manipulace s pixely"
"Jaká vlastnost třídy Pen určuje barvu čáry?";"Color";"Width";"Opacity";"Style"
"Jaká vlastnost třídy Pen určuje šířku čáry?";"Width";"Color";"Height";"Size"
"Co dělá metoda FillRectangle?";"Vyplní obdélník zadanou barvou";"Nakreslí obdélník bez výplně";"Vyplní text v poli";"Smaže obsah grafiky"
"Jaká metoda vykreslí obrázek na formulář?";"DrawImage";"DrawLine";"DrawText";"FillRectangle"
"Jak vytvoříme vlastní barvu?";"Color.FromArgb(255, 128, 0)";"Brush.Color(255, 0, 0)";"Pen.Color(128, 128, 128)";"Graphics.Color(0, 255, 0)"
"Jakou třídu použijeme pro vykreslení textu?";"Font";"Graphics";"Brush";"Pen"
"Jak nastavíme barvu pozadí Panelu?";"panel1.BackColor = Color.Blue";"panel1.ForeColor = Color.Green";"panel1.TextColor = Color.Red";"panel1.BackgroundColor = Color.Yellow"
"Jaká třída umožňuje vyplňovat oblasti grafiky?";"Brush";"Pen";"Graphics";"Bitmap"
"Jaký objekt použijeme pro kreslení čar?";"Pen";"Brush";"Graphics";"Image"
"Jakou metodou vykreslíme elipsu?";"DrawEllipse";"DrawLine";"DrawText";"FillRectangle"
"Jak vytvoříme přechodový štětec?";"LinearGradientBrush";"SolidBrush";"RadialBrush";"TextureBrush"
"Jak se jmenuje metoda pro vykreslení bitmapy?";"DrawImage";"DrawBitmap";"DrawIcon";"DrawGlyph"
"Jaký ovládací prvek je vhodný pro oddělení grafiky?";"Panel";"Label";"TextBox";"Button"
"Jak zajistíme, aby grafika nezmizela při překreslení okna?";"Vykreslujeme v události Paint";"Používáme statické proměnné";"Používáme Timer";"Připojujeme událost Click"
"Co je Timer v kontextu animace?";"Časovač pro periodické vykreslování";"Nástroj pro ladění aplikace";"Způsob ukládání grafiky";"Metoda pro kompresi obrázků"
"Jak vykreslíme animaci obrázku?";"Pomocí Timeru a metody Invalidate()";"Pomocí metody ShowImage()";"Použitím statických proměnných";"Voláním metody DrawTimer()"
"Co dělá metoda Invalidate()?";"Vyvolá překreslení formuláře";"Ukončí aplikaci";"Načte nový obrázek";"Změní velikost formuláře"
"Jaká metoda umožňuje přímou manipulaci s pixely bitmapy?";"SetPixel";"DrawPixel";"SetPoint";"DrawPoint"
"Jaká metoda slouží pro získání pixelu z bitmapy?";"GetPixel";"ReadPixel";"FetchPixel";"ExtractPixel"
"Co je animace bitmapy?";"Plynulý pohyb obrázku pomocí časovače";"Statické vykreslení obrázku";"Vytvoření nového obrázku";"Načítání dat z databáze"
"Jaký je hlavní účel třídy Bitmap?";"Reprezentace rastrových obrázků";"Vykreslování textu";"Správa barev";"Ladění grafiky"
"Jak vykreslit text na formulář?";"DrawString";"DrawLine";"FillRectangle";"DrawImage"
"Jaký namespace obsahuje třídy pro kreslení grafiky?";"System.Drawing";"System.Text";"System.Data";"System.Windows"
"Jaká vlastnost třídy Color určuje průhlednost?";"Alpha";"Red";"Green";"Blue"
"Jaká metoda nastaví barvu pozadí formuláře?";"BackColor";"ForeColor";"Background";"FillColor"
