Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaká je chemická značka vody?;H₂O;HO₂;OH₂;H₃O
Jaký je význam vody v organismu?;Rozpouštědlo, transport látek, termoregulace;Zdroj oxidu uhličitého;Hlavní energetický zdroj;Podpora fotosyntézy
Jaké jsou vlastnosti vody?;Bezbarvá, bez chuti a zápachu, polární molekula;Kyselá, zapáchající, nepolární;Hořlavá, nestabilní;Zásaditá, vonná
Jaká je hustota vody při 4 °C?;1 g/cm³;0,9 g/cm³;1,5 g/cm³;0,5 g/cm³
Co tvoří hlavní složku vzduchu?;Dusík;Kyslík;Oxid uhličitý;Vodní pára
Jaký je obsah kyslíku ve vzduchu?;Přibližně 21 %;Přibližně 78 %;10 %;50 %
Jaké jsou hlavní vlastnosti lipidů?;Hydrofobní, nerozpustné ve vodě;Polární, rozpustné ve vodě;Hořlavé a těžké;Zásadité a vodivé
Co je hlavní složkou tuků?;Triacylglyceroly;Aminokyseliny;Cukry;Steroidy
Jaké je biologické využití lipidů?;Zásobní látky, izolace, tvorba membrán;Zásobní cukry;Katalyzátory;Dýchací pigmenty
Co je hydrolýza tuků?;Rozklad tuků na glycerol a mastné kyseliny;Spalování tuků;Vznik esterů;Syntéza bílkovin
Jaké látky vznikají při hydrolýze tuků?;Glycerol a mastné kyseliny;Cukry a voda;Proteiny;Estery a plyn
Co jsou detergenty?;Látky s čistícími vlastnostmi;Bílkoviny;Enzymy;Barviva
Jaká je základní struktura detergentu?;Polární hlava a nepolární řetězec;Kyselá skupina a jádro;Dvojitá spirála;Iontová vazba
K čemu se používají detergenty?;Čištění a odstraňování mastnoty;Barvení;Neutralizace kyselin;Syntéza proteinů
Co jsou izoprenoidy?;Organické sloučeniny odvozené od izoprenu;Anorganické soli;Alkoholy s kyselinou;Lipidy s dusíkem
Jaká je biologická role izoprenoidů?;Pigmenty, hormony, vitamíny;Detergenty;Zásobní polysacharidy;Základ DNA
Který z následujících je izoprenoid?;Cholesterol;Glukóza;Sacharóza;Glycin
K čemu slouží vosky?;Ochrana povrchů rostlin a živočichů;Zdroj glukózy;Nosič informací;Katalyzátory reakcí
Co jsou fosfolipidy?;Složky buněčných membrán;Kyseliny;Alkoholy;Steroidy
Jaké rozpouštědlo je univerzální v biologii?;Voda;Ethanol;Aceton;Ropa
