Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je Audacity?;Program pro úpravu zvuku;Grafický editor;Přehrávač videa;Textový procesor
Jaký formát je určen pro zvukové soubory?;.mp3;.jpg;.avi;.png
Jaký formát je určen pro video soubory?;.mp4;.docx;.txt;.bmp
K čemu slouží zvukový editor?;Upravuje a zaznamenává zvuk;Tiskne text;Skenuje obrázky;Stříhá video
Jaká funkce umožňuje odstranit šum v Audacity?;Redukce šumu;Hlasitost;Komprese;Změna výšky tónu
Co je waveform?;Grafické znázornění zvukové stopy;Video efekt;Textový blok;Formát obrázku
Co je samplingová frekvence?;Počet vzorků za sekundu při digitalizaci zvuku;Rychlost připojení k internetu;Počet snímků za sekundu;Velikost fontu
Jaký je standardní formát pro ztrátovou kompresi zvuku?;.mp3;.wav;.flac;.avi
Jaký program lze použít pro úpravu videa?;Adobe Premiere;MS Word;Photoshop;Audacity
Co je storyboard?;Plán jednotlivých scén ve videu;Grafické logo;Zvukový formát;Textová poznámka
Jaká je funkce střihu ve videu?;Odstraní nebo přesune části záznamu;Změní barvu pozadí;Zvýší hlasitost;Změní písmo
Jaký formát umožňuje vysokou kvalitu videa bez ztráty?;.avi;.mp4;.wmv;.txt
Co znamená zkratka FPS ve videu?;Snímky za sekundu;Zvuková frekvence;Textový soubor;Přenosový signál
K čemu slouží přechody ve videu?;Spojují jednotlivé klipy efektním způsobem;Změní rozlišení;Upraví grafiku;Ztlumí zvuk
Jaká funkce se používá pro zpomalení záběru?;Zpomalený pohyb (slow motion);Stopka;Ostrost;Střih
Jaký formát zvuku je bezztrátový?;.flac;.mp3;.aac;.mp4
Co je bitrate?;Datový tok určující kvalitu zvuku nebo videa;Rozměr obrázku;Délka dokumentu;Velikost písma
Jaký soubor může obsahovat zvuk i obraz?;.mp4;.mp3;.jpg;.wav
Co znamená renderování videa?;Zpracování finálního výstupu videa;Změna barvy pozadí;Úprava fontu;Zvýraznění textu
K čemu slouží titulky ve videu?;Zobrazení mluveného slova jako textu;Změna rozlišení;Změna formátu;Změna výšky tónu
