Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kam patří člověk v systému organismů?;Do říše živočichů, kmene strunatců, třídy savců;Do říše rostlin;Do skupiny plazů;Do říše hub
Co je antropogeneze?;Vývoj člověka a lidského druhu;Vývoj žab;Původ jazyků;Rozdělení ras
Kdo je považován za nejstarší známý předchůdce člověka?;Australopithecus;Homo sapiens;Homo habilis;Homo erectus
Který druh člověka začal používat první nástroje?;Homo habilis;Homo sapiens;Australopithecus;Homo neanderthalensis
Který druh člověka byl první, kdo opustil Afriku?;Homo erectus;Homo sapiens;Homo habilis;Homo rudolfensis
Jaký význam má Homo erectus?;První uživatel ohně, rozšíření mimo Afriku;Nejvyšší inteligence;Výrobce umění;Největší lebeční objem
Který druh člověka tvořil první jeskynní malby?;Homo sapiens;Homo habilis;Australopithecus;Homo erectus
Kdo je přímým předchůdcem dnešního člověka?;Homo sapiens;Homo neanderthalensis;Homo habilis;Homo rudolfensis
Jaký je význam neandrtálců (Homo neanderthalensis)?;Soužití s Homo sapiens, silná tělesná stavba;Původ jazyků;Domestikace zvířat;Zemědělství
Kdy se objevil Homo sapiens?;Přibližně před 300 000 lety;Před 10 000 lety;Před 1 milionem let;Před 5 000 lety
Jaký objev je důležitý v českém kontextu vývoje člověka?;Čelisti z Přezletic a Dolních Věstonic;Venuše z Hradce;Kosti z Karlštejna;Mozek z Brna
Co je Darwinova teorie?;Teorie přirozeného výběru a evoluce;Teorie stvoření člověka;Teorie rovnosti druhů;Teorie společenského rozvoje
Co tvrdí Darwinova teorie o přežití?;Přežívají jedinci nejlépe přizpůsobení prostředí;Všichni přežijí stejně;Silnější vždy vítězí;Druhy se nemění
Jaký je význam opic pro vývoj člověka?;Společný předek s člověkem;Přímý potomek člověka;Druhotný druh;Zcela nesouvisející druh
Jaké znaky se objevují během hominizace?;Vzpřímená chůze, zmenšování čelistí, zvětšování mozku;Ztráta ochlupení, růst ocasu;Schopnost létat;Rozvoj trávicí soustavy
Co je hominizace?;Proces vývoje lidských znaků;Vývoj trávení;Stěhování národů;Změna teploty organismu
Co je sapientace?;Rozvoj rozumových a psychických schopností;Růst svalů;Změna pigmentu;Schopnost létat
Které znaky jsou typické pro Homo sapiens?;Vysoká lebka, jemnější kostra, složité myšlení;Malá mozkovna;Silné nadočnicové oblouky;Krátké končetiny
Jak se člověk liší od ostatních primátů?;Komplexní myšlení, jazyk, kultura;Velikost zubů;Počet prstů;Typ srsti
Co je kulturní evoluce?;Předávání zkušeností a znalostí mezi generacemi;Změna těla člověka;Vývoj jazyka pouze;Růst svalů
