Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je textový editor?;Program určený k psaní a úpravě textu;Editor videa;Grafický program;Hudební přehrávač
Který z těchto programů je textový editor?;MS Word;Excel;Paint;Photoshop
Co znamená funkce 'Styly' v MS Word?;Umožňuje rychlé formátování textu podle šablony;Změní rozlišení obrazovky;Ukládá dokument;Tiskne obrázky
K čemu slouží záložka 'Reference' v MS Word?;Vkládání citací, poznámek a obsahu;Nastavení tisku;Změna písma;Úprava okrajů stránky
Co je 'hromadná korespondence' v MS Word?;Spojení šablony s databází pro automatické vyplňování dopisů;Zaslání e-mailu;Oprava textu;Změna motivu
Jak se ukládá dokument v MS Word?;Soubor > Uložit jako;Úpravy > Kopírovat;Vložit > Obrázek;Nápověda > Uložit
Jaká přípona se používá pro Word dokumenty?;.docx;.txt;.pdf;.xlsx
Co je 'zarovnání textu do bloku'?;Text zarovnaný vlevo i vpravo;Text na střed;Text v rámečku;Text v kurzívě
Jak se vkládá poznámka pod čarou?;Reference > Vložit poznámku pod čarou;Soubor > Nový;Návrh > Styl;Rozložení > Okraje
Jaký je rozdíl mezi 'Uložit' a 'Uložit jako'?;'Uložit jako' umožňuje uložit nový soubor pod jiným názvem nebo typem;'Uložit' soubor smaže;Žádný rozdíl;'Uložit jako' soubor vytiskne
Co je funkce 'Najít a nahradit'?;Vyhledá slovo v textu a umožní ho nahradit jiným;Zvětší písmo;Vloží obrázek;Změní stránku
Jak se vytvoří seznam s odrážkami?;Kliknutím na ikonu 'Odrážky';Napsáním * před každý řádek;Změnou barvy;Změnou velikosti písma
Co je záhlaví dokumentu?;Horní okraj stránky s opakujícím se textem;Spodní poznámka;Nadpis kapitoly;Část obrázku
K čemu slouží kontrola pravopisu?;Opravuje pravopisné a gramatické chyby;Měří rychlost psaní;Změní font;Smazání formátování
Jak lze vložit tabulku do dokumentu?;Vložit > Tabulka;Soubor > Nový;Úpravy > Vyjmout;Domů > Písmo
Jaký klávesový zkratka uloží dokument?;Ctrl + S;Ctrl + C;Ctrl + Z;Ctrl + P
Jak vytvořit nový dokument?;Soubor > Nový;Změnit > Nový;Nápověda > Nový;Okno > Zavřít
K čemu slouží funkce 'Zpět'?;Vrací poslední provedenou akci;Zavře Word;Změní typ písma;Vytiskne dokument
K čemu slouží 'Tabulátory' v textovém editoru?;Nastavují pozici textu na řádku;Změní pozadí;Uloží soubor;Vloží obrázek
Jaký je účel zápatí?;Spodní část stránky pro text jako čísla stránek;Změna horního okraje;Zarovnání textu;Barva pozadí
