Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je sociální interakce?;Vzájemné působení mezi lidmi;Směna zboží;Pohyb tělesa;Psaní poznámek
Co je sociální percepce?;Vnímání a hodnocení druhých lidí;Tlak na společnost;Sledování televize;Analýza DNA
Jaké chyby se často vyskytují v sociální percepci?;Stereotypy, předsudky, haló efekt;Správné úsudky;Vysoce přesné výpočty;Přesná měření teploty
Co je haló efekt?;Přisuzování vlastností podle jednoho znaku;Měření haly;Vliv počasí na náladu;Označení pro moderní budovu
Co je neverbální komunikace?;Komunikace beze slov – mimika, gesta, pohyby;Psaní článků;Volání na dálku;Rozhlasové vysílání
Jaké druhy komunikace známe?;Verbální a neverbální;Akustická a vizuální;Písemná a finanční;Státní a soukromá
Co je verbální komunikace?;Komunikace slovy;Komunikace očima;Doteková komunikace;Hudební vyjádření
Jaké jsou typy sociálních útvarů?;Rodina, skupina, dav, komunita;Organizmy, buňky, tkáně;Obchod, firma, banka;Katedra, škola, učitel
Co je primární skupina?;Skupina s úzkými osobními vztahy (např. rodina);Skupina v práci;Skupina neznámých lidí;Obchodní partnerství
Co je sekundární skupina?;Skupina s formálními vztahy (např. pracovní tým);Rodina;Dav fanoušků;Přátelský kolektiv
Co je sociální skupina?;Skupina lidí se společným cílem či hodnotami;Tým zvířat;Systém silnic;Soubor dokumentů
Jaký je rozdíl mezi davy a skupinami?;Dav je neorganizovaný a impulzivní;Dav je dlouhodobý útvar;Skupiny jsou hlučnější;Skupiny jsou vždy větší než davy
Jaký význam má rodina jako sociální útvar?;Zajišťuje výchovu, podporu a socializaci;Provádí veřejné průzkumy;Řídí stát;Organizuje sport
Co je sociální komunikace?;Proces výměny informací mezi lidmi;Oprava počítačové sítě;Měření hlasitosti;Tvorba videí
Co je empatie?;Schopnost vcítit se do emocí druhého člověka;Vědecké vysvětlení počasí;Fyzická vytrvalost;Matematické dovednosti
Jaké vlastnosti zlepšují komunikaci?;Otevřenost, naslouchání, empatie;Ticho, vzdálenost, anonymita;Vzteklost, agresivita;Písemná forma bez obsahu
Jaká komunikace je běžná mezi přáteli?;Neformální a spontánní;Formální a anonymní;Písemná a úřední;Právnická
Co je zpětná vazba?;Reakce příjemce na sdělení;Opakování slova;Čtení knihy;Měření hlasitosti
Jaký je význam neverbálních projevů?;Vyjadřují emoce a postoje;Slouží ke psaní článků;Pomáhají při počítání;Slouží k přesunu dat
Co může způsobit komunikační šum?;Nedorozumění, hluk, nejasné vyjádření;Zvýšená hlasitost řeči;Velká slovní zásoba;Jasný tón hlasu
