Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký jazyk používá Arduino?";"Rozšíření jazyka C/C++";"Python";"JavaScript";"Ruby"
"Co je hlavním účelem TinkerCad?";"Simulace a návrh elektronických obvodů";"Grafické programování webových aplikací";"Úprava fotografií";"Tvorba textových dokumentů"
"Co je hlavní funkcí Arduino IDE?";"Psaní, kompilace a nahrávání kódu na Arduino desky";"Tvorba 3D modelů";"Editace videa";"Správa databází"
"Jaké dvě hlavní funkce má každý Arduino program?";"setup() a loop()";"start() a stop()";"begin() a end()";"main() a exec()"
"Co dělá funkce pinMode()?";"Nastavuje směr pinu (vstup/výstup)";"Ovládá rychlost motoru";"Mění napětí na pinu";"Zapisuje hodnotu do paměti"
"Jakou hodnotu vrací funkce analogRead()?";"Celé číslo (0–1023)";"Logickou hodnotu (true/false)";"Desetinné číslo";"Řetězec znaků"
"Jakou hodnotu nastavuje funkce digitalWrite() pro zapnutí LED?";"HIGH";"LOW";"100";"0"
"Jaký typ proměnné použijeme pro ukládání desetinných čísel?";"float";"int";"boolean";"char"
"Co je to bootloader v Arduinu?";"Software pro nahrávání kódu přes USB";"Ovládací panel pro Wi-Fi";"Grafický editor";"Diagnostický nástroj"
"Jakou funkci používáme pro zpoždění v programu?";"delay()";"pause()";"sleep()";"wait()"
"K čemu slouží cyklus for v Arduinu?";"Opakování kódu po známý počet opakování";"Řízení napájení Arduina";"Ovládání LED diod";"Zabezpečení sítě"
"Jaký cyklus v Arduinu se vždy vykoná alespoň jednou?";"do-while";"for";"while";"foreach"
"Co je to proměnná v Arduinu?";"Úložiště pro hodnoty a data";"Zobrazení grafiky na displeji";"Zvukový výstup";"Bezdrátové připojení"
"Jaký příkaz použijeme pro podmíněné vykonávání kódu?";"if";"loop";"print";"goto"
"Jaká je základní jednotka programu v Arduinu?";"Sketch";"Node";"Project";"Circuit"
"Co je výhodou použití TinkerCad pro Arduino projekty?";"Simulace bez fyzického hardwaru";"Automatické generování kódu";"Přímé řízení servomotorů";"Vytváření webových aplikací"
"Jaký je rozdíl mezi digitalRead() a analogRead()?";"digitalRead() čte HIGH nebo LOW, analogRead() čte hodnoty 0–1023";"analogRead() čte pouze hodnotu 0";"digitalRead() čte napětí 5 V";"analogRead() čte logické hodnoty"
"Co znamená HIGH ve funkci digitalWrite()?";"Zapnutí pinu na 5 V";"Vypnutí pinu";"Odeslání textu na displej";"Zastavení programu"
"Jak se jmenuje hlavní smyčka v programu Arduino?";"loop()";"setup()";"main()";"start()"
"Jaký je účel používání knihoven v Arduinu?";"Zjednodušují programování speciálních funkcí";"Zvyšují výkon procesoru";"Redukují spotřebu energie";"Zajišťují grafický výstup"
