Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co tvoří opěrnou soustavu člověka?;Kosti, chrupavky, klouby, vazy;Svaly a šlachy;Kůže a podkoží;Cévy a tepny
Jaký typ tkáně tvoří kosti?;Kostní tkáň;Chrupavčitá tkáň;Epiteliální tkáň;Svalová tkáň
Jaká je funkce kostí?;Oporu těla, ochranu orgánů, tvorbu krve;Přenos nervových vzruchů;Výroba enzymů;Ukládání tuků
Kde dochází k tvorbě krvinek?;V kostní dřeni;V játrech;Ve svalech;V ledvinách
Z čeho se skládá dlouhá kost?;Tělo (diafýza) a konce (epifýzy);Hlava a krček;Šlacha a chrupavka;Dřeň a kůra
Jak jsou spojeny kosti v pohyblivých spojeních?;Kloubem;Švem;Srůstem;Chrupavkou
Jak se nazývá místo spojení dvou kostí kloubem?;Kloubní spojení;Šev;Kostní dřeň;Spona
Co je chrupavka?;Pružná tkáň umožňující hladký pohyb v kloubech;Kostní hmota;Tuková zásoba;Část nervové soustavy
Jaké buňky odbourávají kostní tkáň?;Osteoklasty;Osteoblasty;Chondrocyty;Myocyty
Jaké buňky vytvářejí kostní hmotu?;Osteoblasty;Osteoklasty;Fibroblasty;Leukocyty
Co je šev na lebce?;Nepohyblivé spojení kostí;Kloubní spojení;Svalová úpon;Trhlina v kosti
Jak se nazývá hlavní osa kostry?;Osa tělní (osa páteřní);Osa břišní;Osa lebky;Osa hrudní
Kolik obratlů má páteř dospělého člověka?;33–34;26;21;42
Z čeho se skládá hrudní koš?;Hrudní obratle, žebra, hrudní kost;Lopatky a klíční kosti;Hrudník a břišní svaly;Plíce a bránice
Co chrání hrudní koš?;Srdce a plíce;Játra a slezinu;Žaludek a střeva;Mozek a míšní kanál
Jak se nazývá horní končetina kostry?;Paže, předloktí, ruka;Rameno, krk, hlava;Noha, lýtko, prsty;Pánev, stehno, koleno
Které kosti tvoří dolní končetinu?;Stehenní kost, holenní kost, lýtková kost, kosti nohy;Kosti ruky, prsty, zápěstí;Kosti páteře;Žebra a pánev
Jaká je funkce vazů?;Spojují kosti a stabilizují kloub;Přenášejí krev;Tvoří chrupavku;Napínají svaly
Co je periost?;Okostice – vazivová blána pokrývající kost;Kloubní maz;Dřeň v kosti;Svalové vlákno
Jaký význam má opěrná soustava?;Umožňuje pohyb, chrání orgány, podporuje krvetvorbu;Reguluje teplotu;Zajišťuje trávení;Řídí nervové vzruchy
