Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je WAN?;Rozsáhlá počítačová síť spojující vzdálené oblasti;Domácí síť;Bezdrátová síť v kanceláři;Typ kabelu
Jaký je nejznámější příklad WAN?;Internet;LAN;Bluetooth;Intranet
Kdy vznikl internet?;V 60. letech 20. století;V roce 2000;V 80. letech 19. století;V roce 1995
Jaký projekt byl předchůdcem internetu?;ARPANET;Wikinet;EuroNet;DataLink
Kdy byla spuštěna první e-mailová zpráva?;1971;1985;1990;1965
Co znamená zkratka WWW?;World Wide Web;Web With Widgets;Wireless Web World;Wide Wired Web
Kdo je považován za tvůrce WWW?;Tim Berners-Lee;Bill Gates;Steve Jobs;Alan Turing
Jaký je rozdíl mezi internetem a WWW?;Internet je infrastruktura, WWW je služba;Jsou to synonyma;WWW je nový název internetu;Internet je jen pro USA
Co je IP adresa?;Jedinečný identifikátor zařízení v síti;Název webové stránky;Prohlížeč;Druh softwaru
Jaký protokol se používá pro přenos webových stránek?;HTTP/HTTPS;FTP;SMTP;DHCP
Co je ISP?;Poskytovatel internetového připojení;Druh kabelu;Typ e-mailu;Služba antiviru
Jaké je základní riziko používání veřejné Wi-Fi?;Možnost odposlechu dat;Vysoká rychlost;Nízké rozlišení;Slabý signál
K čemu slouží DNS?;Převádí názvy domén na IP adresy;Zabezpečuje připojení;Blokuje spam;Zálohuje data
Co znamená zkratka URL?;Jednotná adresa zdroje na webu;Uživatel registrační linky;Univerzální radiová linka;Účetní referenční list
Co je browser?;Webový prohlížeč;Tiskárna;Typ kabelu;Operační systém
Co je modem?;Zařízení pro připojení k internetu;Počítačová hra;Antivirový program;Kancelářský software
Jaký byl původní účel internetu?;Vojenský výzkum a komunikace;Zábava;Online nákupy;Sociální sítě
Co je VPN?;Virtuální privátní síť;Výkonný procesor;Video platforma;Vizuální programovací nástroj
Který z těchto protokolů slouží k přenosu e-mailů?;SMTP;HTTP;DNS;FTP
Který z těchto je doménový název?;www.example.com;192.168.1.1;FTP;HTML
