Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"K čemu slouží základní deska v počítači?";"Propojuje všechny komponenty počítače";"Ukládá data";"Generuje grafický výstup";"Spravuje internetové připojení"
"Jaký parametr základní desky určuje typ připojitelného procesoru?";"Socket";"Čipová sada";"Formát";"Rozšiřující slot"
"Co znamená označení ATX u základní desky?";"Velikost a formát základní desky";"Napájecí rozhraní";"Typ procesoru";"Kapacita RAM"
"Jaký typ sběrnice se nejčastěji používá pro grafické karty?";"PCIe x16";"SATA";"USB";"Ethernet"
"Jaká je funkce čipové sady na základní desce?";"Řídí komunikaci mezi procesorem, RAM a dalšími komponentami";"Zajišťuje grafický výkon";"Reguluje otáčky ventilátorů";"Ukládá data"
"Jaký typ portu se běžně používá pro připojení úložiště (HDD, SSD)?";"SATA";"USB";"PCIe";"Ethernet"
"Jaký typ paměti je připojen přes M.2 slot?";"NVMe SSD";"USB disk";"Grafická karta";"Optická mechanika"
"Co je účelem skříně počítače?";"Ochrana komponent a zajištění chlazení";"Ukládání dat";"Řízení výkonu procesoru";"Správa softwaru"
"Co znamená modularita napájecího zdroje?";"Možnost odpojení kabelů";"Výkon zdroje";"Kvalita ventilátoru";"Podpora více procesorů"
"Jaký typ chlazení je nejefektivnější pro výkonné procesory?";"Vodní chlazení";"Vzduchové chlazení";"Pasivní chlazení";"Hybridní chlazení"
"Jaký konektor napájí grafickou kartu?";"PCIe";"SATA";"USB";"HDMI"
"Co znamená certifikace 80 Plus u napájecího zdroje?";"Vysoká účinnost zdroje";"Maximální výkon";"Podpora více jader";"Větší paměť"
"Jaký je účel záložního zdroje (UPS)?";"Zajistit nepřerušované napájení při výpadku elektřiny";"Zvýšit výkon procesoru";"Zrychlit internetové připojení";"Chladit grafickou kartu"
"Co znamená zkratka BIOS?";"Basic Input/Output System";"Binary Information Operating System";"Basic Integrated Operating System";"Buffer Input Output Service"
"Jaký je hlavní rozdíl mezi BIOS a UEFI?";"UEFI má modernější rozhraní a podporuje větší disky";"BIOS je rychlejší";"UEFI neumožňuje přetaktování";"BIOS podporuje grafické rozhraní"
"Jaké rozhraní umožňuje ovládat BIOS/UEFI pomocí myši?";"UEFI";"BIOS";"PCIe";"SATA"
"Jaký typ paměti je nejrychlejší v procesoru?";"L1 cache";"RAM";"SSD";"L3 cache"
"Jaký port se používá pro připojení monitoru?";"HDMI";"USB";"SATA";"Ethernet"
"Co je to front side bus (FSB)?";"Sběrnice spojující procesor s čipovou sadou";"Grafická sběrnice";"Datový port pro USB";"Konektor pro ventilátor"
"Jaký typ základní desky se používá v kompaktních počítačích?";"Mini-ITX";"ATX";"Full Tower";"Micro-ATX"
"Jaké jsou hlavní výhody vodního chlazení?";"Vyšší efektivita chlazení a nižší hlučnost";"Nižší cena";"Jednoduchá instalace";"Menší rozměry"
"Co je hlavní funkcí audio konektorů na základní desce?";"Připojení reproduktorů a mikrofonu";"Přenos videa";"Připojení úložiště";"Řízení chlazení"
"Jaký je hlavní účel PCIe slotů na základní desce?";"Připojení rozšiřujících karet (např. GPU)";"Napájení procesoru";"Připojení externích disků";"Zajištění grafického výstupu"
"Jaké jsou výhody modulárního napájecího zdroje?";"Možnost připojení jen potřebných kabelů";"Nižší výkon";"Pevné připojení všech kabelů";"Lepší podpora starších komponent"
"Jaký typ chlazení používají skříně s nízkým výkonem?";"Pasivní chlazení";"Vodní chlazení";"Hybridní chlazení";"Vzduchové chlazení"
