Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co označuje pojem pravěk?;Období od vzniku člověka po vznik písma;Období antiky;Období novověku;Období po středověku
Jak se dělí doba kamenná?;Paleolit, mezolit, neolit;Eneolit, paleolit, bronz;Paleolit, středověk, novověk;Neolit, bronz, železo
Co bylo hlavním způsobem obživy v paleolitu?;Lov a sběr;Zemědělství;Řemeslná výroba;Obchod a směna
Jaký byl význam ohně pro pravěké lidi?;Zajištění tepla, vaření, ochrana;Válečný nástroj;Výroba nářadí;Dekorace jeskyní
Jaký nález je spojen s rodu Australopithecus?;Lucy;Tutanchamon;Cheops;Otzi
Co znamená pojem matriarchát?;Společnost vedená ženami;Společnost vedená muži;Společnost bez vedení;Otroctví
Jaká doba následuje po neolitu?;Eneolit;Paleolit;Středověk;Feudalismus
Jaký materiál se začal využívat v době bronzové?;Slitina mědi a cínu;Železo;Dřevo;Kámen
Jak se nazývají sošky žen z doby kamenné?;Venuše;Idoly;Bohyně;Totemy
Co přinesla neolitická revoluce?;Přechod k zemědělství;Nástup feudalismu;Příchod Římanů;Vznik městských států
Jaký typ nástrojů převládal v paleolitu?;Kamenné;Železné;Bronzové;Skleněné
K čemu sloužily jeskynní malby?;Magické a náboženské účely;Dekorace;Zábava;Zprávy mezi kmeny
Co znamená označení Homo habilis?;Člověk zručný;Člověk vzpřímený;Člověk moudrý;Člověk dnešního typu
Kdy začíná pravěk?;Vznikem člověka;Vznikem písma;Stavbou pyramid;Založením Říma
Jak se označuje poslední doba kamenná?;Neolit;Paleolit;Eneolit;Bronzová doba
Kde se rozvíjelo první zemědělství?;Přední východ;Evropa;Afrika;Amerika
Jaké byly hlavní společenské jednotky v pravěku?;Rodiny a rody;Městské státy;Kmeny;Císařství
Jaký druh člověka je přímým předchůdcem Homo sapiens?;Homo erectus;Australopithecus;Neandrtálec;Homo rudolfensis
Který druh člověka jako první ovládl oheň?;Homo erectus;Homo sapiens;Homo habilis;Australopithecus
Jak se označuje člověk dnešního typu?;Homo sapiens sapiens;Homo habilis;Homo erectus;Homo neanderthalensis
