Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo se stal rakouským císařem v roce 1848?;František Josef I.;Ferdinand I.;Karel VI.;Josef II.
Kdy byla vyhlášena rakousko-uherská monarchie?;1867;1849;1871;1900
Jaký byl hlavní výsledek rakousko-uherského vyrovnání?;Vznik dualismu – Rakousko a Uhersko jako dva rovnoprávné celky;Zrušení monarchie;Vznik republiky;Spojení s Pruskem
Co byla východní otázka?;Politický problém rozpadu Osmanské říše;Rozdělení Polska;Otázka průmyslu;Obchodní dohody s Asií
Které velmoci se zajímaly o Balkán?;Rusko a Rakousko-Uhersko;Anglie a Francie;USA a Německo;Španělsko a Portugalsko
Jaký význam měla bitva u Solferina (1859)?;Porážka Rakouska a ztráta Lombardie;Zisk území ve Francii;Porážka Ruska;Spojení s Německem
Jaký stát vznikl během tohoto období z iniciativy Garibaldiho?;Itálie;Německo;Jugoslávie;Albánie
Kdo byl kancléřem Rakouska po revolucích 1848?;Felix Schwarzenberg;Metternich;Palacký;František Ferdinand
Jak se nazývá dohoda z roku 1867 mezi Rakouskem a Uherskem?;Rakousko-uherské vyrovnání;Vídeňská úmluva;Versailleská smlouva;Pražský mír
Jaké byly důsledky rakousko-uherského vyrovnání pro české země?;Zklamání a snaha o české vyrovnání;Získání autonomie;Odtržení od monarchie;Vytvoření republiky
Jaký jazyk byl uznán jako rovnoprávný s němčinou po roce 1867 v Uhrách?;Maďarština;Čeština;Polština;Chorvatština
Jaká byla politika Františka Josefa I. vůči národnostem?;Centralizace a potlačování;Podpora autonomie;Separace národů;Zrušení ústavy
Kdy bylo vydáno Prosincová ústava?;1867;1849;1859;1875
Který český politik prosazoval státoprávní požadavky Čechů?;František Palacký;Karel Havlíček Borovský;Josef Jungmann;T. G. Masaryk
Jaký politický směr dominoval v české společnosti po roce 1867?;Staročeši a Mladočeši;Liberálové;Socialisté;Nacionalisté
Jaké události vedly ke krizi v Osmanské říši?;Povstání na Balkáně a intervence velmocí;Zemětřesení;Změna dynastie;Průmyslový kolaps
Co znamená termín „balkánský kotel“?;Napjatá situace na Balkáně před 1. světovou válkou;Rozpad Rakouska;Otázka Německa;Italská revoluce
Který stát podporoval pravoslavné národy Balkánu?;Rusko;Německo;Francie;Anglie
Jaký význam měl Berlínský kongres 1878?;Upravil situaci na Balkáně po rusko-turecké válce;Rozpad Francie;Vznik Rakousko-Uherska;Vytvoření NATO
Jak skončilo období vlády Františka Josefa I.?;Začátkem první světové války;Vznikem ČSR;Smrtí Napoleona;Zánikem monarchie
