Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je politologie?;Věda o politice, moci a státu;Věda o planetách;Studium počasí;Výzkum virů
Jaké jsou filosofické kořeny politologie?;Antická filosofie a teorie státu;Moderní ekonomie;Astronomie;Geometrie
Kdy se politologie etablovala jako samostatná věda?;Ve 20. století;V antice;V 18. století;V době renesance
Co zkoumá politologie?;Politické instituce, ideologie, procesy a vztahy;Zemědělské systémy;Tělesnou zdatnost;Vývoj jazyka
Jaké jsou hlavní funkce politologie?;Analýza, vysvětlování, kritika a predikce politických jevů;Výuka jazyků;Tvorba hudby;Rozvoj sportu
Co je politika?;Souhrn aktivit směřujících k řízení společnosti;Fyzikální zákon;Chemická reakce;Druh umění
Jaké pojetí politiky známe?;Mocenské, konsenzuální, institucionální;Náboženské, technické, formální;Komerční, fyzické, obchodní;Sociální, biologické, právní
Co je stát?;Organizace s vrchní mocí nad obyvatelstvem určitého území;Regionální sdružení;Ekologická organizace;Sportovní tým
Jaké znaky má stát?;Území, obyvatelstvo, státní moc;Voda, vzduch, lesy;Jazyk, kultura, umění;Zeměpis, dějepis, občanka
Co je politická moc?;Schopnost ovlivňovat chování a rozhodování lidí;Síla člověka;Rychlost běhu;Výše daní
Jaké jsou zdroje politické moci?;Autorita, nátlak, zákony;Gravitace, tlak, teplota;Internet, telefon, e-mail;Sport, umění, zábava
Co je ústava?;Základní zákon státu;Sbírka románů;Vědecký článek;Hudební skladba
K čemu slouží ústava?;Upravuje základní principy fungování státu;Zajišťuje export zboží;Reguluje tělesnou teplotu;Vytváří písně
Jaké jsou státní symboly?;Vlajka, znak, hymna, pečeť;Peníze, zlato, nerosty;Auto, telefon, dům;Chléb, voda, sůl
Kdo přijímá ústavu?;Zákonodárný orgán nebo občané v referendu;Školní rada;Vědecký tým;Společnost přátel knih
Jaký je rozdíl mezi státem a národem?;Stát je politická organizace, národ kulturní společenství;Stát je větší než národ;Národ nemá jazyk;Stát je nehmotný
Jaké jsou znaky právního státu?;Dodržování zákonů, dělba moci, ochrana práv;Silné ozbrojené složky;Kontrola internetu;Státní cenzura
Proč je důležitá politická kultura?;Ovlivňuje způsob, jak občané vnímají a vykonávají politiku;Zajišťuje kulturní akce;Podporuje sport;Snižuje daně
Jak politologie přispívá společnosti?;Pomáhá porozumět politickému dění a rozhodování;Zvyšuje rychlost internetu;Zlepšuje chuť jídla;Léčí nemoci
Co znamená pojem legitimita moci?;Přijetí moci společností jako oprávněné;Změna klimatu;Vývoj jazyka;Způsob výuky matematiky
