Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy vypukla první světová válka?;1914;1912;1918;1905
Co bylo bezprostřední příčinou války?;Atentát na Františka Ferdinanda d’Este;Sjednocení Německa;Vznik Trojspolku;Pád carského Ruska
Kde došlo k atentátu na následníka trůnu?;Sarajevo;Vídeň;Praha;Berlín
Kdo spáchal atentát v Sarajevu?;Gavrilo Princip;Franz Josef;Lenin;Tomáš Garrigue Masaryk
Které dvě hlavní koalice proti sobě stály ve válce?;Dohoda a Ústřední mocnosti;NATO a Varšavská smlouva;Osa a Spojenci;Ententa a Trojspolek
Kdo byli členové Trojspolku?;Německo, Rakousko-Uhersko, Itálie;Francie, Anglie, Rusko;USA, Japonsko, Francie;Turecko, Srbsko, Itálie
Kdo byli členové Dohody?;Francie, Anglie, Rusko;Německo, Rakousko, Turecko;USA, Německo, Rusko;Rakousko, Japonsko, Francie
Kdy vstoupily do války Spojené státy?;1917;1915;1914;1918
Jaká nová technologie byla během války poprvé hromadně využita?;Tanky;Letadla;Ponorky;Děla
Jaký byl typ války na západní frontě?;Zákopová válka;Mobilní válka;Partyznánská válka;Blesková válka
Jak se nazývá mírová smlouva, která ukončila válku?;Versailleská smlouva;Trianonská dohoda;Mnichovská dohoda;Potsdamská smlouva
Kdy byla podepsána Versailleská smlouva?;1919;1918;1920;1917
Jaký byl dopad války na Rakousko-Uhersko?;Rozpad monarchie;Vítězství;Zisk území;Zachování hranic
Který stát se rozpadl po válce na několik nástupnických států?;Rakousko-Uhersko;USA;Francie;Velká Británie
Které nové státy vznikly po válce?;Československo, Jugoslávie, Polsko;Slovensko, Maďarsko, Prusko;Sovětský svaz, Ukrajina, Litva;Rumunsko, Albánie, Slovinsko
Kdo se stal prezidentem USA během první světové války?;Woodrow Wilson;Theodore Roosevelt;Abraham Lincoln;Franklin D. Roosevelt
Jaký byl hlavní bod Wilsonových čtrnácti bodů?;Vytvoření Společnosti národů;Zrušení hranic;Vítězství Spojenců;Zrušení monarchií
Jaké byly následky války pro Německo?;Tvrdé reparace a ztráta území;Získání kolonií;Růst moci;Připojení k USA
Který dokument uznal vznik Československa?;Pittsburghská dohoda;Versailleská smlouva;Mnichovská dohoda;Římská smlouva
Kdo byl hlavním velitelem československých legií?;Milan Rastislav Štefánik;Tomáš G. Masaryk;Karel Kramář;Edvard Beneš
