Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký je základní vzorec monosacharidů?;CₙH₂ₙOₙ;CₙHₙOₙ;CₙH₂O;CH₂Oₙ
Který monosacharid je nejběžnější?;Glukóza;Fruktóza;Sacharóza;Maltóza
Jak se monosacharidy rozdělují?;Podle počtu uhlíků a typu karbonylové skupiny;Podle barvy;Podle vůně;Podle hmotnosti
Co je optická aktivita?;Schopnost stáčet rovinu polarizovaného světla;Schopnost absorbovat vodu;Rozpustnost v tucích;Bod varu
Který monosacharid je ketóza?;Fruktóza;Glukóza;Ribóza;Galaktóza
Který monosacharid je aldohexóza?;Glukóza;Fruktóza;Maltóza;Laktóza
Jaká je biologická funkce glukózy?;Zdroj energie;Stavební jednotka tuků;Barvivo;Hormón
Jaké typy vzorců se používají pro monosacharidy?;Sumární, strukturní, Fischerův, Haworthův;Karboxylový a hydroxylový;Elektronový a hybridní;Izotopový a molekulový
Kde probíhá syntéza sacharidů v přírodě?;Při fotosyntéze;Při dýchání;Při spalování;Při kvašení
Co patří do triády železa?;Fe, Co, Ni;Fe, Cu, Zn;Fe, Mn, Cr;Fe, Ag, Au
Jaký je oxidační stav železa ve sloučeninách?;+II a +III;+I a +II;+III a +IV;+I a +III
Která sloučenina železa se používá v hemoglobinu?;Fe²⁺;Fe³⁺;Fe⁴⁺;Fe⁰
Jaká je barva síranu železnatého?;Zelená;Modrá;Žlutá;Červená
Jaká je barva síranu železitého?;Hnědá;Zelená;Bílá;Černá
Jaká je elektronová konfigurace železa?;[Ar] 3d⁶ 4s²;[Ne] 3s² 3p⁶;[Kr] 4d¹⁰ 5s²;[He] 2s² 2p⁶
K čemu se využívá železo?;Stavebnictví, výroba oceli;Výroba léčiv;Příprava plastů;Syntéza barviv
Co je hemin?;Komplex železa v krevním barvivu;Sloučenina mědi;Cukr;Dusíkatý derivát
Co je magnetit?;Přírodní ruda železa (Fe₃O₄);Chlorid železitý;Sloučenina manganu;Halogenid mědi
Jaké je využití koordinačních sloučenin železa?;Léčiva, katalyzátory;Detergenty;Voda;Barviva
Jaký je typický ligand v komplexu železa?;CN⁻ nebo NH₃;Cl⁻ nebo OH⁻;Na⁺;SO₄²⁻
