Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je rastrová grafika?;Grafika tvořená z jednotlivých bodů – pixelů;Grafika založená na křivkách;Textový dokument;Zvuková stopa
Co je vektorová grafika?;Grafika tvořená z křivek a objektů;Obraz z bodů;Animace;Video formát
K čemu slouží barevný model RGB?;Pro zobrazení barev na monitorech;Pro tisk;Pro tvorbu tabulek;Pro úpravu zvuku
Jaký barevný model se používá pro tisk?;CMYK;RGB;HEX;HSV
Jaký je rozdíl mezi rastrovou a vektorovou grafikou?;Rastrová se skládá z pixelů, vektorová z objektů;Vektorová má větší rozlišení;Rastrová je pro zvuk;Žádný rozdíl
K čemu slouží formát .jpg?;Ukládání rastrových obrázků;Textový formát;Hudební soubor;Vektorový formát
Jaký formát používá vektorová grafika?;.svg;.mp3;.jpg;.bmp
Co znamená rozlišení obrázku?;Počet pixelů na výšku a šířku;Počet barev;Počet řádků textu;Velikost souboru ve MB
Jaký program slouží pro úpravu rastrové grafiky?;Adobe Photoshop;MS Word;Excel;Audacity
Jaký program je určen pro práci s vektorovou grafikou?;Adobe Illustrator;Paint;PowerPoint;Windows Media Player
Co je transparentní pozadí?;Průhledné pozadí bez barvy;Modré pozadí;Stínovaný efekt;Barevný přechod
Jaký formát umožňuje transparentní pozadí?;.png;.jpg;.bmp;.txt
Co znamená zkratka DPI?;Počet bodů na palec;Digitální přenos informací;Počet dokumentů;Rozlišení zvuku
Jaký formát je vhodný pro tisk fotografie?;.tif;.docx;.mp4;.html
K čemu slouží nástroj 'kapátko' v grafických editorech?;Kopíruje barvu z obrázku;Zvětší plochu;Změní písmo;Vloží text
Co je komprese obrázku?;Zmenšení velikosti souboru;Zvýšení rozlišení;Změna formátu;Tvorba animace
K čemu slouží grafický tablet?;K ručnímu kreslení do počítače;K úpravě zvuku;K vypalování disků;K záloze dat
Jaký je rozdíl mezi PNG a JPG?;PNG podporuje průhlednost, JPG je ztrátový;JPG má větší velikost;PNG je jen černobílý;JPG je animace
Jaký formát je bezztrátový?;.png;.jpg;.mp3;.avi
K čemu slouží vrstvy v grafice?;Umožňují oddělenou práci s jednotlivými částmi obrázku;Změní velikost písma;Změní barvu monitoru;Změní pozici kurzoru
