Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Které prvky patří do skupiny dusíku?;Dusík, fosfor, arsen, antimon, bismut;Kyslík, síra, selen;Sodík, draslík;Uhlík, křemík
Jaký je nejčastější oxidační stav dusíku?;−III až +V;0;+I;+IV
Jaký je vzorec amoniaku?;NH₃;NO₂;N₂;HNO₃
Jaký je význam amoniaku?;Základní surovina pro výrobu hnojiv;Rozpouštědlo;Detergent;Oxidant
Jaká je vlastnost dusíku jako plynu?;Bezbarvý, bez zápachu, inertní;Hořlavý;Jedovatý;Zásaditý
Jaká sloučenina vzniká oxidací amoniaku?;Oxid dusičitý (NO₂);Oxid uhličitý;Oxid siřičitý;Voda
Jaký je vzorec kyseliny dusičné?;HNO₃;HNO₂;H₂SO₄;H₂CO₃
Na co se používá kyselina dusičná?;Výroba hnojiv, výbušnin, barviv;Omytí skla;Výroba plastů;Ochlazování
Co jsou dusíkaté deriváty uhlovodíků?;Organické sloučeniny obsahující dusík;Alkoholy;Kyseliny;Halogenderiváty
Jaké typy dusíkatých derivátů existují?;Aminy, amidy, nitrosloučeniny;Estery, ketony, alkoholy;Halogeny;Areny
Co je aminoskupina?;-NH₂;-OH;-COOH;-CHO
Jak dělíme aminy?;Primární, sekundární, terciární;Levé a pravé;Zásadité a kyselé;Acyklické a cyklické
Jaké jsou vlastnosti aminů?;Zásadité, často zapáchající;Silně kyselé;Bezzápachové;Silně reaktivní
Co jsou amidy?;Sloučeniny s -CONH₂ skupinou;Estery;Halogeny;Oxidy
K čemu se používají dusíkaté deriváty?;Léčiva, barviva, plasty;Hnojiva;Oxidace vody;Výroba chloru
Jaký je vzorec pro anilin?;C₆H₅NH₂;CH₃NH₂;CH₃OH;C₆H₆
Který dusíkatý derivát je známý výbušninou?;Nitroglycerin;Anilin;Amoniak;Pyridin
Co vzniká nitrací aromatických sloučenin?;Nitrosloučeniny;Estery;Aminy;Ketony
Jak se nazývá derivát s dusíkem na karbonylové skupině?;Amid;Amin;Ester;Halogenid
Jaká je role dusíku v biologii?;Součást aminokyselin, bílkovin a nukleových kyselin;Oxidační činidlo;Katalyzátor;Zásobník energie
