Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký byl hlavní výsledek Vídeňského kongresu?;Obnova předrevolučních poměrů;Založení EU;Vznik Československa;Zrušení monarchií
Kdy probíhala první průmyslová revoluce?;Od konce 18. století;Ve 13. století;V roce 1848;Ve 20. století
Která země byla kolébkou průmyslové revoluce?;Velká Británie;Francie;Německo;Rakousko
Jaké odvětví bylo prvním rozvíjeným během průmyslové revoluce?;Textilní průmysl;Dřevařství;Zemědělství;Automobilismus
Který vynález umožnil rychlejší přepravu a výrobu?;Parní stroj;Telefon;Počítač;Letadlo
Jaký byl hlavní sociální dopad průmyslové revoluce?;Vznik dělnické třídy;Zrušení šlechty;Zánik měst;Nárůst nevolnictví
Co je urbanizace?;Růst měst;Zánik vesnic;Rozpad říše;Stěhování králů
Kdy došlo k revolucím v Evropě známým jako revoluční rok?;1848;1789;1815;1917
Co bylo hlavní příčinou revolucí roku 1848?;Sociální nerovnost a nedostatek svobody;Církevní reforma;Kolonialismus;Náboženská jednota
Jaká byla hlavní požadavky revolucí 1848?;Ústava, svoboda slova, národní samostatnost;Zákaz obchodu;Zrušení škol;Obnovení nevolnictví
Jak se revoluce 1848 projevila v Rakouské monarchii?;Povstání ve Vídni a v Uhrách;Rozpad státu;Občanská válka;Založení unie
Kdo byl významnou postavou revoluce v Uhrách?;Lajos Kossuth;František Josef;Metternich;Palacký
Jak skončily revoluce 1848 v Rakousku?;Porážkou a obnovením absolutismu;Založením republiky;Vítězstvím revolucionářů;Rozdělením monarchie
Co bylo důsledkem Vídeňského kongresu pro Německo?;Vznik Německého spolku;Sjednocení Německa;Vytvoření republiky;Připojení k Rakousku
Kdo byl hlavním představitelem konzervatismu po Vídeňském kongresu?;Klemens Metternich;Napoleon;Karl Marx;Bismarck
Který stát byl nejvíce industrializovaný na konci 18. století?;Velká Británie;Francie;Rusko;Španělsko
Jak se změnila výroba během průmyslové revoluce?;Z ruční na strojovou;Zemědělství se rozšířilo;Zanikly továrny;Vznikl barter
Jaký byl vztah mezi průmyslovou revolucí a dopravou?;Rozvoj železnic a lodní dopravy;Zánik cest;Letectví;Námořní zákaz
Která ideologie začala sílit po roce 1848?;Socialismus;Absolutismus;Feudalismus;Teokracie
Jaký vliv měly události roku 1848 na české země?;Zahájení národního hnutí a požadavky autonomie;Rozpad monarchie;Vznik republiky;Zákaz češtiny
