Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je ekonomie?;Věda zkoumající hospodářské vztahy;Příručka pro nákup;Školní učebna;Zákon o potravinách
Co je ekonomika?;Praktická realizace hospodářství v konkrétním státě;Teorie o počasí;Druh daně;Organizace školství
Jaké jsou základní ekonomické otázky?;Co vyrábět, jak vyrábět, pro koho vyrábět;Kde studovat, co jíst, kam cestovat;Kolik daní, jaké známky, jaké zboží;Kdo je prezident, kolik je lidí, co je stát
Co je trh?;Místo, kde se střetává nabídka a poptávka;Parkoviště;Škola;Továrna
Co je nabídka?;Množství zboží, které chtějí výrobci prodat;Počet lidí ve škole;Váha zboží;Délka směny
Co je poptávka?;Množství zboží, které chtějí spotřebitelé koupit;Nabídka škol;Počet daní;Vzdálenost obchodu
Kdy je tržní rovnováha?;Když se nabídka rovná poptávce;Když není školní test;Když se otevře obchod;Když je státní svátek
Co je cena?;Hodnota zboží vyjádřená v penězích;Jméno osoby;Váha produktu;Věk kupujícího
Jaké známe typy ekonomik?;Tržní, příkazová, smíšená;Zimní, letní, podzimní;Národní, mezinárodní, domácí;Rychlá, pomalá, průměrná
Co je tržní ekonomika?;Ekonomika založená na nabídce a poptávce;Plánovaná výroba centrální vládou;Ekonomika bez peněz;Zákony o škole
Co je příkazová ekonomika?;Stát určuje, co a jak se bude vyrábět;Trh rozhoduje o výrobě;Žáci volí předměty;Děti si vybírají jídlo
Co je smíšená ekonomika?;Kombinuje prvky tržní a příkazové ekonomiky;Vyučuje tělocvik a matematiku;Skládá se z učitelů a žáků;Obsahuje jen potraviny
Co je ekonomický cyklus?;Střídání období růstu a poklesu ekonomiky;Roční období;Věk spotřebitele;Směna ve škole
Jaké jsou fáze ekonomického cyklu?;Růst, vrchol, recese, krize;Jaro, léto, podzim, zima;Dětství, dospívání, dospělost, stáří;Test, výlet, prázdniny, studium
Co je podnikání?;Cílevědomá činnost za účelem dosažení zisku;Učení ve škole;Sportování;Hra na kytaru
Jaké jsou právní formy podnikání?;Živnost, s.r.o., a.s., družstvo;Stát, kraj, obec;Škola, nemocnice, úřad;Rodina, přátelé, spolužáci
Co je marketing?;Činnost směřující k poznání trhu a zákazníků;Zpěv a tanec;Tvorba zákonů;Cestování
Jaké jsou základní nástroje marketingu?;Produkt, cena, místo, propagace;Peníze, daně, trh, škola;Stát, právo, obchod, nemocnice;Učitel, žák, test, tabule
Co je cílem marketingu?;Získat zákazníky a zvýšit prodej;Zrušit daně;Založit školu;Snadno projít testem
Proč je důležité rozumět ekonomii?;Pomáhá nám chápat fungování společnosti a trhu;Zvyšuje chuť k jídlu;Učíme se řídit auto;Zajišťuje prázdniny
