Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je hlavním účelem návrhu sítě?";"Plánování a implementace infrastruktury pro sdílení dat a zdrojů";"Zabezpečení proti útokům";"Optimalizace výkonu procesorů";"Zálohování dat"
"Jaký typ sítě se používá pro domácnosti nebo malé firmy?";"LAN";"WAN";"MAN";"SAN"
"Jaký typ sítě pokrývá větší geografickou oblast?";"WAN";"LAN";"WLAN";"PAN"
"Jaký typ sítě se používá pro bezdrátové propojení v rámci budovy?";"WLAN";"LAN";"WAN";"MAN"
"Jaký typ sítě pokrývá město nebo kampus?";"MAN";"LAN";"WAN";"SAN"
"Jaký typ sítě je nejčastější v domácím prostředí?";"LAN";"WAN";"MAN";"CAN"
"Jaký prvek je obvykle centrálním bodem v hvězdicové topologii domácí sítě?";"Router";"Switch";"Access Point";"Modem"
"Jaký kabel se běžně používá pro kabelové připojení v domácí síti?";"Kroucená dvojlinka";"Koaxiální kabel";"Optický kabel";"Telefonní kabel"
"Jaký standard Wi-Fi je vhodný pro moderní domácí sítě?";"802.11ax";"802.11b";"802.11g";"802.11a"
"Co je úkolem routeru v domácí síti?";"Připojení LAN/WLAN k internetu";"Tisk dokumentů";"Ukládání záloh";"Přenos dat mezi procesory"
"Jaký prvek rozšiřuje počet kabelových portů v síti?";"Switch";"Router";"Access Point";"Modem"
"Jaký prvek rozšiřuje dosah bezdrátové sítě?";"Access Point";"Switch";"Router";"Modem"
"Jaká adresa se běžně používá pro přístup k nastavení routeru?";"192.168.1.1";"10.0.0.1";"172.16.0.1";"255.255.255.0"
"Jaké je výchozí přihlašovací jméno a heslo u většiny routerů?";"admin/admin";"user/user";"root/root";"guest/guest"
"Co je úkolem DHCP serveru v domácí síti?";"Automatické přidělování IP adres";"Šifrování datového provozu";"Zálohování uživatelských dat";"Přesměrování webového provozu"
"Jaký protokol slouží pro zabezpečení Wi-Fi sítě?";"WPA2 nebo WPA3";"WEP";"FTP";"HTTP"
"Jaký název sítě je zobrazen uživatelům při připojování k Wi-Fi?";"SSID";"IP adresa";"MAC adresa";"DHCP"
"Jaký standard šifrování je považován za nejbezpečnější pro Wi-Fi sítě?";"WPA3";"WPA2";"WEP";"AES"
"Co je doporučeno udělat po nastavení routeru?";"Změnit výchozí přihlašovací údaje";"Nechat původní nastavení";"Zakázat Wi-Fi";"Odpojit router od internetu"
"Co je WAN port na routeru?";"Port pro připojení k internetu";"Port pro připojení tiskárny";"Port pro připojení USB disku";"Port pro připojení Wi-Fi"
"Jaká je hlavní úloha LAN portů na routeru?";"Připojení kabelových zařízení v místní síti";"Připojení externí antény";"Napájení zařízení";"Zálohování dat"
"Jaký je hlavní úkol firewallu na routeru?";"Zabezpečení sítě před neoprávněným přístupem";"Zrychlení přenosu dat";"Sdílení tiskáren";"Automatická konfigurace IP adres"
"Jaké jsou hlavní komponenty malé domácí sítě?";"Router, kabeláž, koncová zařízení";"Server, firewall, pracovní stanice";"Tiskárna, projektor, monitor";"Procesor, grafická karta, paměť"
"Jak se propojují stolní počítače v domácí síti?";"Pomocí kabelu k routeru";"Bezdrátově přes Bluetooth";"Pomocí optického kabelu";"Přímým propojením USB"
"Jaké zařízení se obvykle připojuje bezdrátově k domácí síti?";"Notebook";"Server";"Stolní počítač";"Switch"
"Jaká funkce routeru zajišťuje připojení k internetu?";"WAN port";"LAN port";"USB port";"Audio výstup"
"Jaký přístupový bod je potřebný pro rozšíření Wi-Fi signálu?";"Access Point";"Switch";"Repeater";"Modem"
"Jaký je hlavní účel konfigurace SSID?";"Určení názvu bezdrátové sítě";"Šifrování datového provozu";"Přidělení IP adres";"Řízení přístupu do sítě"
"Jaká bezpečnostní opatření se doporučují pro domácí síť?";"Aktivace WPA3, změna výchozího hesla";"Deaktivace firewallu";"Použití veřejného SSID";"Vypnutí DHCP"
"Jaký prvek domácí sítě zajišťuje přidělování IP adres?";"DHCP server";"DNS server";"FTP server";"SMTP server"
"Co je důležité udělat při konfiguraci Wi-Fi?";"Nastavit silné heslo a šifrování WPA3";"Deaktivovat šifrování";"Nechat síť veřejně přístupnou";"Omezit počet připojených zařízení"
