Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je Windows Forms Application (WFA) v C#?";"Technologie pro vytváření desktopových aplikací s GUI";"Systém pro správu databází";"Platforma pro webové aplikace";"Nástroj pro analýzu dat"
"Jaká knihovna se používá v C# pro Windows Forms?";"System.Windows.Forms";"System.IO";"System.Threading";"System.Data"
"Jaký typ aplikace se vytváří pomocí Windows Forms?";"Desktopová aplikace";"Webová aplikace";"Konzolová aplikace";"Mobilní aplikace"
"Jaká šablona se používá pro vytvoření WFA v Visual Studio?";"Windows Forms App (.NET Framework)";"ASP.NET Web App";"Console App";"Blazor App"
"Jaké komponenty jsou běžně používány ve Windows Forms?";"Button, Label, TextBox, ComboBox";"ImageView, RecyclerView, Intent";"Link, Header, Footer, Sidebar";"Section, Div, Span, Article"
"Jaká komponenta se používá pro tlačítko v WFA?";"Button";"Label";"TextBox";"ComboBox"
"Jaká komponenta se používá pro statický text v WFA?";"Label";"TextBox";"Button";"ListBox"
"Jaká komponenta slouží k zadávání textu?";"TextBox";"Label";"Button";"ComboBox"
"Jaký ovládací prvek umožňuje zaškrtnutí volby?";"CheckBox";"RadioButton";"Button";"ListBox"
"Jaký ovládací prvek umožňuje výběr jedné možnosti z více?";"RadioButton";"CheckBox";"TextBox";"Button"
"Jaká komponenta zobrazuje seznam položek?";"ListBox";"ComboBox";"TextBox";"Button"
"Jaká komponenta kombinuje pole pro výběr a zadání textu?";"ComboBox";"ListBox";"Label";"Button"
"Jaký ovládací prvek se používá pro zobrazení tabulkových dat?";"DataGridView";"ListBox";"ComboBox";"TextBox"
"Jaká událost je spuštěna při kliknutí na tlačítko?";"Click";"TextChanged";"Load";"SelectedIndexChanged"
"Jaká událost se vyvolá při změně textu v TextBoxu?";"TextChanged";"Click";"Load";"SelectedIndexChanged"
"Jaká událost se vyvolá při změně výběru v ComboBoxu?";"SelectedIndexChanged";"Click";"TextChanged";"Load"
"Jaký ovládací prvek se používá pro výběr z předdefinovaných možností?";"ComboBox";"TextBox";"Label";"Button"
"Jaká je vlastnost pro zjištění textu v TextBoxu?";"Text";"Content";"Label";"Caption"
"Jaká je vlastnost pro nastavení textu na tlačítku?";"Text";"Label";"Content";"Value"
"Jaká metoda se používá pro zobrazení okna se zprávou?";"MessageBox.Show";"Console.WriteLine";"TextBox.Append";"Label.SetText"
"Jaké klíčové slovo se používá pro připojení události?";"+=";"-=";"==";"!="
"Jaký je účel vlastnosti 'Enabled' u tlačítka?";"Určuje, zda je tlačítko aktivní";"Určuje barvu tlačítka";"Určuje text tlačítka";"Určuje velikost tlačítka"
"Jaký datový typ se používá pro události v C#?";"EventHandler";"Action";"Func";"Delegate"
"Jaký ovládací prvek umožňuje vícenásobný výběr?";"ListBox";"ComboBox";"TextBox";"Button"
"Jaká vlastnost ovládacího prvku Button určuje jeho text?";"Text";"Content";"Label";"Caption"
"Jaká metoda se používá pro přidání obsluhy události?";"+= Handler";"-= Handler";"* Handler";"/ Handler"
"Jaká vlastnost nastavuje barvu pozadí tlačítka?";"BackColor";"ForeColor";"Text";"Content"
"Jaká vlastnost nastavuje písmo v Labelu?";"Font";"Text";"Style";"BackColor"
"Jaká metoda se používá pro spuštění hlavního formuláře?";"Application.Run";"Form.Start";"Main.Run";"Window.Show"
"Jaký ovládací prvek se používá pro výběr jedné ze dvou nebo více možností?";"RadioButton";"CheckBox";"Button";"Label"
"Jaká vlastnost určuje aktuálně vybranou položku v ComboBoxu?";"SelectedItem";"Text";"Content";"SelectedValue"
"Jaká metoda se používá pro ukončení aplikace?";"Application.Exit";"Form.Close";"Environment.Terminate";"System.Stop"
"Jak se připojuje událost kliknutí k tlačítku?";"button1.Click += handler";"button1.OnClick = handler";"button1.Action += handler";"button1.Event = handler"
"Jakou metodou přidáme prvek do ListBoxu?";"Items.Add";"Add";"Append";"Push"
"Jaká metoda se používá pro odstranění položky z ListBoxu?";"Items.Remove";"RemoveAt";"Delete";"Clear"
"Jaká metoda se používá pro vymazání všech položek z ListBoxu?";"Items.Clear";"ClearAll";"DeleteAll";"RemoveAll"
"Jaká vlastnost určuje, zda je TextBox pouze pro čtení?";"ReadOnly";"Enabled";"Locked";"Visible"
"Jaká vlastnost TextBoxu umožňuje více řádků textu?";"Multiline";"Wrap";"Scrollable";"Resizable"
