Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je chemická vazba?;Spojení mezi atomy v molekule;Přítomnost elektrického náboje;Skupenský přechod;Rozklad molekuly
Co je kovalentní vazba?;Vazba sdílením elektronového páru;Přenos elektronů;Přitažlivost iontů;Slabá interakce mezi molekulami
Co je iontová vazba?;Vazba vzniklá přenosem elektronů mezi kationtem a aniontem;Sdílení elektronů;Hydrofobní interakce;Magnetická síla
Co je kovová vazba?;Vazba mezi atomy kovů s volně pohyblivými elektrony;Vazba mezi nekovy;Slabá vazba mezi molekulami;Spojení elektronovými páry
Co je polarita vazby?;Rozdíl elektronegativity mezi atomy;Vazba mezi ionty;Symetrie molekuly;Teplota tání
Co je vodíkový můstek?;Slabá vazba mezi molekulami s vodíkem a elektronegativním prvkem;Silná kovalentní vazba;Vazba mezi kovy;Ionizace molekul
Kde najdeme vodíkové vazby?;Mezi molekulami vody;Mezi atomy kovu;Ve vakuu;Ve všech plynech
Co je van der Waalsova síla?;Slabá přitažlivá síla mezi molekulami;Kovalentní vazba;Elektrostatická interakce;Síla valenčních elektronů
Co je chemická reakce?;Přeměna výchozích látek na produkty;Změna skupenství;Přenos tepla;Rozpuštění látky
Co je reaktant?;Výchozí látka v chemické reakci;Produkt reakce;Katalyzátor;Zplodina
Co je produkt?;Látka vzniklá chemickou reakcí;Výchozí látka;Rozpouštědlo;Kov
Co je katalyzátor?;Látka, která urychluje reakci, ale nespotřebovává se;Reaktant;Produkt;Rozpouštědlo
Co je rovnice chemické reakce?;Zápis přeměny reaktantů na produkty;Zápis fyzikálního děje;Tabulka vlastností;Seznam molekul
Co znamená vyčíslit rovnici?;Vyrovnat počet atomů na obou stranách rovnice;Změnit náboj molekul;Určit hmotnost;Spočítat koncentraci
Jaké typy chemických reakcí známe?;Syntéza, rozklad, substituce, exotermní, endotermní;Jaderné, fázové;Ionizační a optické;Tepelné a tlakové
Co je exotermní reakce?;Reakce, při které se uvolňuje teplo;Reakce pohlcující teplo;Rozklad světla;Změna barvy
Co je endotermní reakce?;Reakce, která pohlcuje teplo;Reakce uvolňující teplo;Exploze;Sublimace
Co je aktivační energie?;Minimální energie potřebná k zahájení reakce;Energie produktů;Tlak reakce;Rychlost reakce
Jaký je rozdíl mezi rovnovážnou a nevratnou reakcí?;Rovnovážná může probíhat oběma směry, nevratná jen jedním;Neexistuje rozdíl;Obě mají stejnou rychlost;Nevratná má vyšší energii
Který z následujících typů není chemická vazba?;Gravitační přitažlivost;Kovalentní vazba;Iontová vazba;Kovová vazba
